Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0029843,2016-12-27,2016-12-27,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,movie,7.9,102,1938,"Action, Adventure, Romance",44765,1938-05-12,"Michael Curtiz, William Keighley"
2,tt0043265,2016-12-27,2016-12-27,,The African Queen,https://www.imdb.com/title/tt0043265/,movie,7.7,105,1951,"Adventure, Drama, Romance, War",67778,1951-12-26,John Huston
3,tt0042192,2016-12-27,2016-12-27,,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,112418,1950-10-13,Joseph L. Mankiewicz
4,tt0020629,2016-12-27,2016-12-27,,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,movie,8.0,136,1930,"Drama, War",54408,1930-04-21,Lewis Milestone
5,tt0043278,2016-12-27,2016-12-27,,An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",28093,1951-08-26,Vincente Minnelli
6,tt0075686,2016-12-27,2016-12-27,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",240459,1977-03-27,Woody Allen
7,tt0078788,2016-12-27,2016-12-27,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",564542,1979-05-19,Francis Ford Coppola
8,tt0052618,2016-12-27,2016-12-27,,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",205970,1959-11-18,William Wyler
9,tt0036868,2016-12-27,2016-12-27,,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.0,170,1946,"Drama, Romance, War",54336,1946-11-21,William Wyler
10,tt0038355,2016-12-27,2016-12-27,,The Big Sleep,https://www.imdb.com/title/tt0038355/,movie,7.9,114,1946,"Crime, Film-Noir, Mystery, Thriller",74986,1946-08-22,Howard Hawks
11,tt0004972,2016-12-27,2016-12-27,,The Birth of a Nation,https://www.imdb.com/title/tt0004972/,movie,6.4,195,1915,"Drama, History, War",20928,1915-02-08,D.W. Griffith
12,tt0083658,2016-12-27,2016-12-27,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Sci-Fi, Thriller",646564,1982-06-25,Ridley Scott
13,tt0061418,2016-12-27,2016-12-27,,Bonnie and Clyde,https://www.imdb.com/title/tt0061418/,movie,7.8,111,1967,"Action, Biography, Crime, Drama",96451,1967-08-04,Arthur Penn
14,tt0026138,2016-12-27,2016-12-27,,Bride of Frankenstein,https://www.imdb.com/title/tt0026138/,movie,7.8,75,1935,"Drama, Horror, Sci-Fi",40409,1935-04-19,James Whale
15,tt0050212,2016-12-27,2016-12-27,,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.1,161,1957,"Adventure, Drama, War",190409,1957-10-02,David Lean
16,tt0029947,2016-12-27,2016-12-27,,Bringing Up Baby,https://www.imdb.com/title/tt0029947/,movie,7.9,102,1938,"Comedy, Family, Romance",51985,1938-02-16,Howard Hawks
17,tt0034583,2016-12-27,2016-12-27,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",488700,1942-11-26,Michael Curtiz
18,tt0071315,2016-12-27,2016-12-27,,Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",273238,1974-06-20,Roman Polanski
19,tt0033467,2016-12-27,2016-12-27,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372667,1941-05-01,Orson Welles
20,tt0021749,2016-12-27,2016-12-27,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",153115,1931-01-30,Charles Chaplin
21,tt0018806,2016-12-27,2016-12-27,,The Crowd,https://www.imdb.com/title/tt0018806/,movie,8.1,98,1928,"Drama, Romance",6964,1928-02-18,King Vidor
22,tt0057012,2016-12-27,2016-12-27,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,424743,1964-01-29,Stanley Kubrick
23,tt0036775,2016-12-27,2016-12-27,,Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",132304,1944-07-03,Billy Wilder
24,tt0023969,2016-12-27,2016-12-27,,Duck Soup,https://www.imdb.com/title/tt0023969/,movie,7.8,69,1933,"Comedy, Musical, War",53151,1933-11-12,Leo McCarey
25,tt0080684,2016-12-27,2016-12-27,,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,movie,8.7,124,1980,"Action, Adventure, Fantasy, Sci-Fi",1081491,1980-05-17,Irvin Kershner
26,tt0083866,2016-12-27,2016-12-27,,E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.8,115,1982,"Family, Sci-Fi",345982,1982-05-26,Steven Spielberg
27,tt0064276,2016-12-27,2016-12-27,,Easy Rider,https://www.imdb.com/title/tt0064276/,movie,7.3,95,1969,"Adventure, Drama",92820,1969-05-12,Dennis Hopper
28,tt0032455,2016-12-27,2016-12-27,,Fantasia,https://www.imdb.com/title/tt0032455/,movie,7.8,125,1940,"Animation, Family, Fantasy, Music",83420,1940-11-13,"Ben Sharpsteen, Samuel Armstrong, Paul Satterfield, Hamilton Luske, James Algar, Jim Handley, Ford Beebe Jr., David Hand, Wilfred Jackson, T. Hee, Norman Ferguson, Bill Roberts"
29,tt0024034,2016-12-27,2016-12-27,,42nd Street,https://www.imdb.com/title/tt0024034/,movie,7.4,89,1933,"Comedy, Musical, Romance",9929,1933-02-23,Lloyd Bacon
30,tt0017925,2016-12-27,2016-12-27,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War, Western",73943,1926-12-31,"Buster Keaton, Clyde Bruckman"
31,tt0068646,2016-12-27,2016-12-27,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1485901,1972-03-14,Francis Ford Coppola
32,tt0071562,2016-12-27,2016-12-27,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1034833,1974-12-12,Francis Ford Coppola
33,tt0015864,2016-12-27,2016-12-27,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",92199,1925-06-26,Charles Chaplin
34,tt0031381,2016-12-27,2016-12-27,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",270171,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
35,tt0061722,2016-12-27,2016-12-27,,The Graduate,https://www.imdb.com/title/tt0061722/,movie,8.0,106,1967,"Comedy, Drama, Romance",242447,1967-12-20,Mike Nichols
36,tt0032551,2016-12-27,2016-12-27,,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,movie,8.0,129,1940,"Drama, History",82429,1940-01-24,John Ford
