Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2433448,2014-06-17,2014-06-17,,Best Kept Secret,https://www.imdb.com/title/tt2433448/,movie,7.5,85,2013,"Documentary, Drama",287,2013-05-04,Samantha Buck
2,tt0068646,2014-06-17,2014-06-17,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1485901,1972-03-14,Francis Ford Coppola
3,tt0050083,2014-06-17,2014-06-17,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,619435,1957-04-10,Sidney Lumet
4,tt0047478,2014-06-17,2014-06-17,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",292936,1954-04-26,Akira Kurosawa
5,tt0044741,2014-06-17,2014-06-17,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,60806,1952-10-09,Akira Kurosawa
6,tt0012349,2014-06-17,2014-06-17,,The Kid,https://www.imdb.com/title/tt0012349/,movie,8.3,68,1921,"Comedy, Drama, Family",102000,1921-01-16,Charles Chaplin
7,tt0047396,2014-06-17,2014-06-17,,Rear Window,https://www.imdb.com/title/tt0047396/,movie,8.4,112,1954,"Mystery, Thriller",411426,1954-08-04,Alfred Hitchcock
8,tt0027977,2014-06-17,2014-06-17,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",198621,1936-02-05,Charles Chaplin
9,tt0022100,2014-06-17,2014-06-17,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132351,1931-05-11,Fritz Lang
10,tt0045152,2014-06-17,2014-06-17,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",203122,1952-03-27,"Gene Kelly, Stanley Donen"
11,tt0042192,2014-06-17,2014-06-17,,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,112418,1950-10-13,Joseph L. Mankiewicz
12,tt0047296,2014-06-17,2014-06-17,,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.1,108,1954,"Crime, Drama, Thriller",132008,1954-06-22,Elia Kazan
13,tt0046268,2014-06-17,2014-06-17,,Le salaire de la peur,https://www.imdb.com/title/tt0046268/,movie,8.1,131,1953,"Adventure, Drama, Thriller",49869,1953-04-15,Henri-Georges Clouzot
14,tt0061512,2014-06-17,2014-06-17,,Cool Hand Luke,https://www.imdb.com/title/tt0061512/,movie,8.1,127,1967,"Crime, Drama",152153,1967-11-01,Stuart Rosenberg
15,tt0057012,2014-06-17,2014-06-17,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,424743,1964-01-29,Stanley Kubrick
16,tt0053125,2014-06-17,2014-06-17,,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",279297,1959-07-01,Alfred Hitchcock
17,tt0042876,2014-06-17,2014-06-17,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",139900,1950-08-26,Akira Kurosawa
18,tt0041959,2014-06-17,2014-06-17,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",148994,1949-05-31,Carol Reed
19,tt0083922,2014-06-17,2014-06-17,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,53256,1982-12-17,Ingmar Bergman
20,tt0053198,2014-06-17,2014-06-17,,Les quatre cents coups,https://www.imdb.com/title/tt0053198/,movie,8.1,99,1959,"Crime, Drama",95213,1959-05-04,François Truffaut
21,tt0041546,2014-06-17,2014-06-17,,Kind Hearts and Coronets,https://www.imdb.com/title/tt0041546/,movie,8.0,106,1949,"Comedy, Crime",32605,1949-06-23,Robert Hamer
22,tt0042041,2014-06-17,2014-06-17,,White Heat,https://www.imdb.com/title/tt0042041/,movie,8.2,114,1949,"Action, Crime, Drama, Film-Noir",26104,1949-09-02,Raoul Walsh
23,tt0087884,2014-06-17,2014-06-17,,"Paris, Texas",https://www.imdb.com/title/tt0087884/,movie,8.1,145,1984,Drama,78280,1984-05-19,Wim Wenders
24,tt0040897,2014-06-17,2014-06-17,,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",106321,1948-01-14,John Huston
25,tt0015864,2014-06-17,2014-06-17,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",92199,1925-06-26,Charles Chaplin
26,tt0046438,2014-06-17,2014-06-17,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45857,1953-11-03,Yasujirô Ozu
27,tt0112471,2014-06-17,2014-06-17,,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",245928,1995-01-19,Richard Linklater
28,tt0032904,2014-06-17,2014-06-17,,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,7.9,112,1940,"Comedy, Romance",59677,1940-12-05,George Cukor
29,tt1187043,2014-06-17,2014-06-17,,3 Idiots,https://www.imdb.com/title/tt1187043/,movie,8.4,170,2009,"Comedy, Drama",311803,2009-12-23,Rajkumar Hirani
30,tt0108598,2014-06-17,2014-06-17,,The Wrong Trousers,https://www.imdb.com/title/tt0108598/,short,8.3,30,1993,"Animation, Short, Comedy, Crime, Family, Sci-Fi",48361,1993-09-04,Nick Park
31,tt0114709,2014-06-17,2014-06-17,,Toy Story,https://www.imdb.com/title/tt0114709/,movie,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",825013,1995-11-19,John Lasseter
32,tt0032976,2014-06-17,2014-06-17,,Rebecca,https://www.imdb.com/title/tt0032976/,movie,8.1,130,1940,"Drama, Mystery, Romance, Thriller",113661,1940-03-21,Alfred Hitchcock
33,tt0033870,2014-06-17,2014-06-17,,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.0,100,1941,"Film-Noir, Mystery",142839,1941-10-03,John Huston
34,tt0065571,2014-06-17,2014-06-17,,Il conformista,https://www.imdb.com/title/tt0065571/,movie,8.0,113,1970,Drama,24220,1970-07-01,Bernardo Bertolucci
35,tt0097202,2014-06-17,2014-06-17,,Dip huet seung hung,https://www.imdb.com/title/tt0097202/,movie,7.8,111,1989,"Action, Crime, Drama, Thriller",43809,1989-03-24,John Woo
36,tt2313197,2014-06-17,2014-06-17,,"Batman: The Dark Knight Returns, Part 1",https://www.imdb.com/title/tt2313197/,video,8.0,76,2012,"Animation, Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller",48830,2012-09-06,Jay Oliva
37,tt0097937,2014-06-17,2014-06-17,,My Left Foot: The Story of Christy Brown,https://www.imdb.com/title/tt0097937/,movie,7.9,103,1989,"Biography, Drama",62687,1989-02-24,Jim Sheridan
38,tt0058604,2014-06-17,2014-06-17,,Soy Cuba,https://www.imdb.com/title/tt0058604/,movie,8.2,108,1964,"Drama, History, War",7435,1964-10-26,Mikhail Kalatozov
39,tt0054189,2014-06-17,2014-06-17,,Plein soleil,https://www.imdb.com/title/tt0054189/,movie,7.8,118,1960,"Crime, Drama, Thriller",12410,1960-03-10,René Clément
40,tt0110200,2014-06-17,2014-06-17,,Jing wu ying xiong,https://www.imdb.com/title/tt0110200/,movie,7.5,103,1994,"Action, Drama, Thriller",21386,1994-12-22,Gordon Chan
41,tt2717558,2014-06-17,2014-06-17,,On the Job,https://www.imdb.com/title/tt2717558/,movie,7.0,118,2013,"Action, Crime, Drama, Thriller",2367,2013-05-24,Erik Matti
42,tt0033467,2014-06-17,2014-06-17,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372667,1941-05-01,Orson Welles
43,tt0027125,2014-06-17,2014-06-17,,Top Hat,https://www.imdb.com/title/tt0027125/,movie,7.8,101,1935,"Comedy, Musical, Romance",16109,1935-08-12,Mark Sandrich
