Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0017925,2017-02-09,2017-02-09,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War, Western",73784,1926-12-31,"Buster Keaton, Clyde Bruckman"
2,tt0006864,2017-02-09,2017-02-09,,Intolerance: Love's Struggle Throughout the Ages,https://www.imdb.com/title/tt0006864/,movie,7.8,163,1916,"Drama, History",13119,1916-09-05,D.W. Griffith
3,tt0120737,2017-02-09,2017-02-09,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Adventure, Drama, Fantasy",1549455,2001-12-10,Peter Jackson
4,tt0073440,2017-02-09,2017-02-09,,Nashville,https://www.imdb.com/title/tt0073440/,movie,7.7,160,1975,"Comedy, Drama, Music",21686,1975-06-11,Robert Altman
5,tt0034240,2017-02-09,2017-02-09,,Sullivan's Travels,https://www.imdb.com/title/tt0034240/,movie,8.0,90,1941,"Adventure, Comedy, Drama, Romance",22262,1941-12-05,Preston Sturges
6,tt0068327,2017-02-09,2017-02-09,,Cabaret,https://www.imdb.com/title/tt0068327/,movie,7.8,124,1972,"Drama, Musical",44896,1972-02-13,Bob Fosse
7,tt0061184,2017-02-09,2017-02-09,,Who's Afraid of Virginia Woolf?,https://www.imdb.com/title/tt0061184/,movie,8.0,131,1966,Drama,65434,1966-06-21,Mike Nichols
8,tt0120815,2017-02-09,2017-02-09,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1144198,1998-07-21,Steven Spielberg
9,tt0111161,2017-02-09,2017-02-09,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2160540,1994-09-10,Frank Darabont
10,tt0061811,2017-02-09,2017-02-09,,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,8.0,110,1967,"Crime, Drama, Mystery, Thriller",62010,1967-08-02,Norman Jewison
11,tt0074119,2017-02-09,2017-02-09,,All the President's Men,https://www.imdb.com/title/tt0074119/,movie,8.0,138,1976,"Biography, Drama, History, Thriller",94924,1976-04-04,Alan J. Pakula
12,tt0054331,2017-02-09,2017-02-09,,Spartacus,https://www.imdb.com/title/tt0054331/,movie,7.9,197,1960,"Adventure, Biography, Drama, History, War",115847,1960-10-06,Stanley Kubrick
13,tt0018455,2017-02-09,2017-02-09,,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",44330,1927-09-23,F.W. Murnau
14,tt0120338,2017-02-09,2017-02-09,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",981049,1997-11-01,James Cameron
15,tt0026778,2017-02-09,2017-02-09,,A Night at the Opera,https://www.imdb.com/title/tt0026778/,movie,7.9,96,1935,"Comedy, Music, Musical",29054,1935-11-01,"Sam Wood, Edmund Goulding"
16,tt0050083,2017-02-09,2017-02-09,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,617894,1957-04-10,Sidney Lumet
17,tt0167404,2017-02-09,2017-02-09,,The Sixth Sense,https://www.imdb.com/title/tt0167404/,movie,8.1,107,1999,"Drama, Mystery, Thriller",861916,1999-08-02,M. Night Shyamalan
18,tt0028333,2017-02-09,2017-02-09,,Swing Time,https://www.imdb.com/title/tt0028333/,movie,7.6,103,1936,"Comedy, Musical, Romance",11359,1936-08-27,George Stevens
19,tt0084707,2017-02-09,2017-02-09,,Sophie's Choice,https://www.imdb.com/title/tt0084707/,movie,7.6,150,1982,"Drama, Romance",38163,1982-12-08,Alan J. Pakula
20,tt0067328,2017-02-09,2017-02-09,,The Last Picture Show,https://www.imdb.com/title/tt0067328/,movie,8.0,118,1971,Drama,38757,1971-10-02,Peter Bogdanovich
21,tt0097216,2017-02-09,2017-02-09,,Do the Right Thing,https://www.imdb.com/title/tt0097216/,movie,7.9,120,1989,"Comedy, Drama",77664,1989-05-19,Spike Lee
22,tt0083658,2017-02-09,2017-02-09,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Sci-Fi, Thriller",645240,1982-06-25,Ridley Scott
23,tt0114709,2017-02-09,2017-02-09,,Toy Story,https://www.imdb.com/title/tt0114709/,movie,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",823292,1995-11-19,John Lasseter
