Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0034498,2014-07-25,2014-07-25,,The Battle of Midway,https://www.imdb.com/title/tt0034498/,short,6.2,18,1942,"Documentary, Short, War",1539,1942-09-14,John Ford
2,tt0034951,2014-07-25,2014-07-25,,Kokoda Front Line!,https://www.imdb.com/title/tt0034951/,short,5.9,9,1942,"Documentary, Short, War",171,1942-09-18,
3,tt0035085,2014-07-25,2014-07-25,,Razgrom nemetskikh voysk pod Moskvoy,https://www.imdb.com/title/tt0035085/,movie,6.9,55,1942,"Documentary, War",156,1942-02-23,"Ilya Kopalin, Leonid Varlamov"
4,tt0035209,2014-07-25,2014-07-25,,Prelude to War,https://www.imdb.com/title/tt0035209/,movie,7.0,52,1942,"Documentary, War",1715,1942-05-13,"Anatole Litvak, Frank Capra"
5,tt0035796,2014-07-25,2014-07-25,,Desert Victory,https://www.imdb.com/title/tt0035796/,movie,6.4,60,1943,"Documentary, War",236,1943-03-31,"David MacDonald, Roy Boulting"
6,tt0036823,2014-07-25,2014-07-25,,The Fighting Lady,https://www.imdb.com/title/tt0036823/,movie,7.2,61,1944,"Documentary, History, War",351,1944-12-21,"William Wyler, Edward Steichen"
7,tt0038192,2014-07-25,2014-07-25,,The True Glory,https://www.imdb.com/title/tt0038192/,movie,7.0,87,1945,"Documentary, War",400,1945-08-27,"Carol Reed, Garson Kanin"
8,tt0040285,2014-07-25,2014-07-25,,Design for Death,https://www.imdb.com/title/tt0040285/,movie,6.4,48,1947,Documentary,25,1947-12-31,
9,tt0040767,2014-07-25,2014-07-25,,The Secret Land,https://www.imdb.com/title/tt0040767/,movie,6.9,71,1948,Documentary,255,1948-08-13,
10,tt0041283,2014-07-25,2014-07-25,,Daybreak in Udi,https://www.imdb.com/title/tt0041283/,movie,5.8,47,1949,Documentary,32,1949-08-15,Terry Bishop
11,tt0043050,2014-07-25,2014-07-25,,The Titan: Story of Michelangelo,https://www.imdb.com/title/tt0043050/,movie,7.2,70,1950,Documentary,53,1950-01-22,"Robert J. Flaherty, Richard Lyford, Curt Oertel"
12,tt0042650,2014-07-25,2014-07-25,,Kon-Tiki,https://www.imdb.com/title/tt0042650/,movie,8.0,77,1950,Documentary,2188,1950-01-13,Thor Heyerdahl
13,tt0044009,2014-07-25,2014-07-25,,The Sea Around Us,https://www.imdb.com/title/tt0044009/,movie,6.1,62,1953,Documentary,209,1953-06-30,Irwin Allen
14,tt0046008,2014-07-25,2014-07-25,,The Living Desert,https://www.imdb.com/title/tt0046008/,movie,7.5,69,1953,"Family, Documentary",1113,1953-11-10,James Algar
15,tt0047642,2014-07-25,2014-07-25,,The Vanishing Prairie,https://www.imdb.com/title/tt0047642/,movie,7.6,71,1954,"Documentary, Family",365,1954-08-16,James Algar
16,tt0048157,2014-07-25,2014-07-25,,The Unconquered,https://www.imdb.com/title/tt0048157/,movie,8.1,55,1954,Documentary,54,1954-06-15,Nancy Hamilton
17,tt0049518,2014-07-25,2014-07-25,,Le monde du silence,https://www.imdb.com/title/tt0049518/,movie,7.1,86,1956,Documentary,1275,1956-05-26,"Louis Malle, Jacques-Yves Cousteau"
18,tt0050109,2014-07-25,2014-07-25,,Albert Schweitzer,https://www.imdb.com/title/tt0050109/,movie,6.4,85,1957,"Documentary, Biography, History",77,1957-11-22,Jerome Hill
19,tt0052389,2014-07-25,2014-07-25,,White Wilderness,https://www.imdb.com/title/tt0052389/,movie,5.1,72,1958,"Documentary, Family",342,1958-08-12,James Algar
20,tt0053268,2014-07-25,2014-07-25,,Serengeti darf nicht sterben,https://www.imdb.com/title/tt0053268/,movie,7.9,85,1959,Documentary,347,1959-06-25,Bernhard Grzimek
21,tt0054993,2014-07-25,2014-07-25,,The Horse with the Flying Tail,https://www.imdb.com/title/tt0054993/,movie,6.5,48,1960,"Family, Documentary",126,1960-12-21,Larry Lansburgh
22,tt0053714,2014-07-25,2014-07-25,,Le ciel et la boue,https://www.imdb.com/title/tt0053714/,movie,7.2,92,1961,Documentary,196,1961-05-05,Pierre-Dominique Gaisseau
23,tt0055801,2014-07-25,2014-07-25,,Black Fox: The True Story of Adolf Hitler,https://www.imdb.com/title/tt0055801/,movie,6.9,89,1962,"Documentary, Biography, War",136,1962-12-31,Louis Clyde Stoumen
24,tt0057459,2014-07-25,2014-07-25,,Robert Frost: A Lover's Quarrel with the World,https://www.imdb.com/title/tt0057459/,short,6.6,41,1963,"Documentary, Short, Biography",133,1963-12-31,Shirley Clarke
25,tt0058364,2014-07-25,2014-07-25,,Le monde sans soleil,https://www.imdb.com/title/tt0058364/,movie,7.5,93,1964,Documentary,355,1964-09-30,Jacques-Yves Cousteau
26,tt0059145,2014-07-25,2014-07-25,,The Eleanor Roosevelt Story,https://www.imdb.com/title/tt0059145/,movie,6.4,90,1965,"Documentary, Biography, History",145,1965-11-08,Richard Kaplan
27,tt0059894,2014-07-25,2014-07-25,,The War Game,https://www.imdb.com/title/tt0059894/,tvMovie,8.0,48,1966,"Drama, War",5881,1966-04-13,Peter Watkins
28,tt0062244,2014-07-25,2014-07-25,,La section Anderson,https://www.imdb.com/title/tt0062244/,movie,6.9,65,1967,"Documentary, War",276,1967-02-03,Pierre Schoendoerffer
29,tt0063160,2014-07-25,2014-07-25,,Journey Into Self,https://www.imdb.com/title/tt0063160/,movie,6.9,47,1969,Documentary,49,1969-03-20,Bill McGaw
30,tt0064043,2014-07-25,2014-07-25,,L'amour de la vie - Artur Rubinstein,https://www.imdb.com/title/tt0064043/,movie,7.6,89,1969,"Documentary, Biography, Music",78,1969-06-17,"François Reichenbach, Gérard Patris"
31,tt0066580,2014-07-25,2014-07-25,,Woodstock,https://www.imdb.com/title/tt0066580/,movie,8.2,184,1970,"Documentary, History, Music",15165,1970-03-26,Michael Wadleigh
32,tt0067197,2014-07-25,2014-07-25,,The Hellstrom Chronicle,https://www.imdb.com/title/tt0067197/,movie,7.4,90,1971,"Documentary, Drama",670,1971-05-31,"Walon Green, Ed Spiegel"
33,tt0068924,2014-07-25,2014-07-25,,Marjoe,https://www.imdb.com/title/tt0068924/,movie,7.6,88,1972,"Documentary, Biography",1360,1972-07-24,"Howard Smith, Sarah Kernochan"
34,tt0070135,2014-07-25,2014-07-25,,The Great American Cowboy,https://www.imdb.com/title/tt0070135/,movie,7.3,89,1974,"Documentary, Sport",63,1974-08-14,Kieth Merrill
35,tt0071604,2014-07-25,2014-07-25,,Hearts and Minds,https://www.imdb.com/title/tt0071604/,movie,8.2,112,1974,"Documentary, History, War",5009,1974-05-16,Peter Davis
36,tt0073340,2014-07-25,2014-07-25,,The Man Who Skied Down Everest,https://www.imdb.com/title/tt0073340/,movie,7.1,85,1975,Documentary,380,1975-09-19,Bruce Nyznik
37,tt0074605,2014-07-25,2014-07-25,,Harlan County U.S.A.,https://www.imdb.com/title/tt0074605/,movie,8.2,103,1976,Documentary,4506,1976-10-15,Barbara Kopple
38,tt0076918,2014-07-25,2014-07-25,,Who Are the DeBolts? and Where Did They Get Nineteen Kids?,https://www.imdb.com/title/tt0076918/,movie,7.4,72,1977,"Documentary, Biography",167,1977-09-10,John Korty
39,tt0078205,2014-07-25,2014-07-25,,Scared Straight!,https://www.imdb.com/title/tt0078205/,movie,7.8,96,1978,"Crime, Documentary",707,1978-12-31,Arnold Shapiro
40,tt0078850,2014-07-25,2014-07-25,,Best Boy,https://www.imdb.com/title/tt0078850/,movie,8.0,111,1979,"Documentary, Biography",576,1979-09-07,Ira Wohl
41,tt0080762,2014-07-25,2014-07-25,,From Mao to Mozart: Isaac Stern in China,https://www.imdb.com/title/tt0080762/,movie,7.7,84,1979,"Documentary, Music",382,1979-12-31,Murray Lerner
42,tt0082443,2014-07-25,2014-07-25,,Genocide,https://www.imdb.com/title/tt0082443/,movie,7.3,90,1982,"Documentary, Drama, History, War",409,1982-03-14,Arnold Schwartzman
43,tt0084185,2014-07-25,2014-07-25,,The Fifth Estate: Just Another Missing Kid,https://www.imdb.com/title/tt0084185/,tvEpisode,8.0,90,1981,"Documentary, News",83,1981-04-07,John Zaritsky
44,tt0085655,2014-07-25,2014-07-25,,He Makes Me Feel Like Dancin',https://www.imdb.com/title/tt0085655/,movie,6.3,51,1983,"Documentary, Family",78,1983-11-30,Emile Ardolino
45,tt0088275,2014-07-25,2014-07-25,,The Times of Harvey Milk,https://www.imdb.com/title/tt0088275/,movie,8.3,90,1984,"Documentary, Biography, History",5303,1984-09-30,Rob Epstein
46,tt0088857,2014-07-25,2014-07-25,,Broken Rainbow,https://www.imdb.com/title/tt0088857/,movie,7.0,70,1985,"Documentary, History",188,1985-10-31,Victoria Mudd
47,tt0088740,2014-07-25,2014-07-25,,Artie Shaw: Time Is All You've Got,https://www.imdb.com/title/tt0088740/,movie,8.0,114,1985,"Documentary, Biography, Music",74,1985-03-15,Brigitte Berman
48,tt0090965,2014-07-25,2014-07-25,,Down and Out in America,https://www.imdb.com/title/tt0090965/,movie,7.1,57,1986,Documentary,73,,Lee Grant
49,tt0094119,2014-07-25,2014-07-25,,American Masters: The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,https://www.imdb.com/title/tt0094119/,tvEpisode,7.1,56,1987,"Documentary, Biography",121,1987-09-28,Aviva Slesin
50,tt0095341,2014-07-25,2014-07-25,,Hôtel Terminus,https://www.imdb.com/title/tt0095341/,movie,7.7,267,1988,"Documentary, Biography, History, War",1197,1988-10-06,Marcel Ophüls
