Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0033467,2016-03-12,2016-03-12,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372090,1941-05-01,Orson Welles
2,tt0068646,2016-03-12,2016-03-12,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1482821,1972-03-14,Francis Ford Coppola
3,tt0034583,2016-03-12,2016-03-12,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",487937,1942-11-26,Michael Curtiz
4,tt0081398,2016-03-12,2016-03-12,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",296868,1980-11-13,Martin Scorsese
5,tt0045152,2016-03-12,2016-03-12,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",202772,1952-03-27,"Gene Kelly, Stanley Donen"
6,tt0031381,2016-03-12,2016-03-12,,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",269758,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
7,tt0056172,2016-03-12,2016-03-12,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",249102,1962-12-10,David Lean
8,tt0108052,2016-03-12,2016-03-12,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1120714,1993-11-30,Steven Spielberg
9,tt0052357,2016-03-12,2016-03-12,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",330982,1958-05-09,Alfred Hitchcock
10,tt0032138,2016-03-12,2016-03-12,,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",357487,1939-08-10,"Mervyn LeRoy, George Cukor, King Vidor, Norman Taurog, Victor Fleming, Richard Thorpe"
11,tt0021749,2016-03-12,2016-03-12,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",152794,1931-01-30,Charles Chaplin
12,tt0049730,2016-03-12,2016-03-12,,The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.9,119,1956,"Adventure, Drama, Western",74722,1956-05-16,John Ford
13,tt0076759,2016-03-12,2016-03-12,,Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1147699,1977-05-25,George Lucas
14,tt0054215,2016-03-12,2016-03-12,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",555496,1960-06-16,Alfred Hitchcock
15,tt0062622,2016-03-12,2016-03-12,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",558436,1968-04-02,Stanley Kubrick
16,tt0043014,2016-03-12,2016-03-12,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",184868,1950-08-10,Billy Wilder
