Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0039677,2014-07-29,2014-07-29,,Odd Man Out,https://www.imdb.com/title/tt0039677/,movie,7.7,116,1947,"Crime, Drama, Film-Noir, Thriller",8204,1947-01-30,Carol Reed
2,tt0040338,2014-07-29,2014-07-29,,The Fallen Idol,https://www.imdb.com/title/tt0040338/,movie,7.7,95,1948,"Drama, Mystery, Thriller",7202,1948-08-31,Carol Reed
3,tt0042265,2014-07-29,2014-07-29,,The Blue Lamp,https://www.imdb.com/title/tt0042265/,movie,6.9,84,1950,"Crime, Drama, Thriller",1440,1950-01-19,Basil Dearden
4,tt0044829,2014-07-29,2014-07-29,,The Lavender Hill Mob,https://www.imdb.com/title/tt0044829/,movie,7.6,78,1951,"Comedy, Crime",11738,1951-06-28,Charles Crichton
5,tt0044446,2014-07-29,2014-07-29,,The Sound Barrier,https://www.imdb.com/title/tt0044446/,movie,6.8,118,1952,"Drama, Romance, War",1548,1952-07-22,David Lean
6,tt0045808,2014-07-29,2014-07-29,,Genevieve,https://www.imdb.com/title/tt0045808/,movie,7.1,86,1953,Comedy,2579,1953-04-19,Henry Cornelius
7,tt0047094,2014-07-29,2014-07-29,,Hobson's Choice,https://www.imdb.com/title/tt0047094/,movie,7.7,108,1954,"Comedy, Drama, Romance",6038,1954-02-26,David Lean
8,tt0049665,2014-07-29,2014-07-29,,Reach for the Sky,https://www.imdb.com/title/tt0049665/,movie,7.2,135,1956,"Biography, Drama, War",2133,1956-07-05,Lewis Gilbert
9,tt0053226,2014-07-29,2014-07-29,,Room at the Top,https://www.imdb.com/title/tt0053226/,movie,7.5,117,1959,"Drama, Romance",4752,1959-01-22,Jack Clayton
10,tt0053242,2014-07-29,2014-07-29,,Sapphire,https://www.imdb.com/title/tt0053242/,movie,7.1,92,1959,"Crime, Drama, Mystery, Thriller",1161,1959-04-21,Basil Dearden
11,tt0054269,2014-07-29,2014-07-29,,Saturday Night and Sunday Morning,https://www.imdb.com/title/tt0054269/,movie,7.6,89,1960,"Drama, Romance",7059,1960-10-27,Karel Reisz
12,tt0055506,2014-07-29,2014-07-29,,A Taste of Honey,https://www.imdb.com/title/tt0055506/,movie,7.5,101,1961,Drama,4359,1961-09-14,Tony Richardson
13,tt0057590,2014-07-29,2014-07-29,,Tom Jones,https://www.imdb.com/title/tt0057590/,movie,6.5,129,1963,"Adventure, Comedy, History",10722,1963-06-26,Tony Richardson
14,tt0059319,2014-07-29,2014-07-29,,The Ipcress File,https://www.imdb.com/title/tt0059319/,movie,7.2,109,1965,Thriller,12800,1965-03-18,Sidney J. Furie
15,tt0059749,2014-07-29,2014-07-29,,The Spy Who Came In from the Cold,https://www.imdb.com/title/tt0059749/,movie,7.6,112,1965,"Drama, Thriller",13411,1965-05-26,Martin Ritt
16,tt0104036,2014-07-29,2014-07-29,,The Crying Game,https://www.imdb.com/title/tt0104036/,movie,7.2,112,1992,"Crime, Drama, Romance, Thriller",48265,1992-09-02,Neil Jordan
17,tt0110428,2014-07-29,2014-07-29,,The Madness of King George,https://www.imdb.com/title/tt0110428/,movie,7.2,110,1994,"Biography, Comedy, Drama, History",14529,1994-12-28,Nicholas Hytner
18,tt0119792,2014-07-29,2014-07-29,,Nil by Mouth,https://www.imdb.com/title/tt0119792/,movie,7.3,128,1997,Drama,8092,1997-05-08,Gary Oldman
19,tt0166175,2014-07-29,2014-07-29,,East Is East,https://www.imdb.com/title/tt0166175/,movie,6.9,96,1999,"Comedy, Drama",16398,1999-05-14,Damien O'Donnell
20,tt0275083,2014-07-29,2014-07-29,,Musa,https://www.imdb.com/title/tt0275083/,movie,7.2,158,2001,"Action, Drama, History, War",10486,2001-09-07,Sung-su Kim
21,tt0379557,2014-07-29,2014-07-29,,Touching the Void,https://www.imdb.com/title/tt0379557/,movie,8.0,106,2003,"Documentary, Adventure, Drama, Sport",31961,2003-09-05,Kevin Macdonald
22,tt0382189,2014-07-29,2014-07-29,,My Summer of Love,https://www.imdb.com/title/tt0382189/,movie,6.7,86,2004,"Drama, Romance",18781,2004-08-21,Pawel Pawlikowski
23,tt0480025,2014-07-29,2014-07-29,,This Is England,https://www.imdb.com/title/tt0480025/,movie,7.7,101,2006,"Crime, Drama",111440,2006-09-12,Shane Meadows
