Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0047478,2018-11-02,2018-11-02,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",292936,1954-04-26,Akira Kurosawa
2,tt0040522,2018-11-02,2018-11-02,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,132632,1948-11-24,Vittorio De Sica
3,tt0046438,2018-11-02,2018-11-02,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45857,1953-11-03,Yasujirô Ozu
4,tt0042876,2018-11-02,2018-11-02,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",139900,1950-08-26,Akira Kurosawa
5,tt0031885,2018-11-02,2018-11-02,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24841,1939-07-08,Jean Renoir
6,tt0060827,2018-11-02,2018-11-02,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90697,1966-10-18,Ingmar Bergman
7,tt0056801,2018-11-02,2018-11-02,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101379,1963-02-13,Federico Fellini
8,tt0053198,2018-11-02,2018-11-02,,Les quatre cents coups,https://www.imdb.com/title/tt0053198/,movie,8.1,99,1959,"Crime, Drama",95213,1959-05-04,François Truffaut
9,tt0118694,2018-11-02,2018-11-02,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",110152,2000-05-20,Kar-Wai Wong
10,tt0053779,2018-11-02,2018-11-02,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",60463,1960-02-03,Federico Fellini
11,tt0053472,2018-11-02,2018-11-02,,À bout de souffle,https://www.imdb.com/title/tt0053472/,movie,7.9,90,1960,"Crime, Drama",66595,1960-03-16,Jean-Luc Godard
12,tt0106332,2018-11-02,2018-11-02,,Ba wang bie ji,https://www.imdb.com/title/tt0106332/,movie,8.1,171,1993,"Drama, Music, Romance",22875,1993-01-01,Kaige Chen
13,tt0022100,2018-11-02,2018-11-02,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132351,1931-05-11,Fritz Lang
14,tt0073198,2018-11-02,2018-11-02,,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/,movie,7.8,202,1975,Drama,6074,1975-05-14,Chantal Akerman
15,tt0048473,2018-11-02,2018-11-02,,Pather Panchali,https://www.imdb.com/title/tt0048473/,movie,8.6,125,1955,Drama,20033,1955-08-26,Satyajit Ray
16,tt0017136,2018-11-02,2018-11-02,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",148775,1927-01-10,Fritz Lang
17,tt0068182,2018-11-02,2018-11-02,,"Aguirre, der Zorn Gottes",https://www.imdb.com/title/tt0068182/,movie,8.0,95,1972,"Action, Adventure, Biography, Drama, History",48114,1972-12-29,Werner Herzog
18,tt0096908,2018-11-02,2018-11-02,,Beiqíng chéngshì,https://www.imdb.com/title/tt0096908/,movie,7.9,157,1989,Drama,3741,1989-09-12,Hsiao-Hsien Hou
19,tt0058946,2018-11-02,2018-11-02,,La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,movie,8.1,121,1966,"Drama, War",48545,1966-08-31,Gillo Pontecorvo
20,tt0072443,2018-11-02,2018-11-02,,Zerkalo,https://www.imdb.com/title/tt0072443/,movie,8.1,107,1975,"Biography, Drama",34286,1975-03-07,Andrei Tarkovsky
21,tt1832382,2018-11-02,2018-11-02,,Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,movie,8.3,123,2011,Drama,203634,2011-02-01,Asghar Farhadi
22,tt0457430,2018-11-02,2018-11-02,,El laberinto del fauno,https://www.imdb.com/title/tt0457430/,movie,8.2,118,2006,"Drama, Fantasy, War",584778,2006-05-27,Guillermo del Toro
