Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0041959,2016-09-21,2016-09-21,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",148994,1949-05-31,Carol Reed
2,tt0037558,2016-09-21,2016-09-21,,Brief Encounter,https://www.imdb.com/title/tt0037558/,movie,8.0,86,1945,"Drama, Romance",32667,1945-11-19,David Lean
3,tt0056172,2016-09-21,2016-09-21,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",249515,1962-12-10,David Lean
4,tt0026029,2016-09-21,2016-09-21,,The 39 Steps,https://www.imdb.com/title/tt0026029/,movie,7.7,86,1935,"Film-Noir, Mystery, Thriller",47920,1935-06-06,Alfred Hitchcock
5,tt0038574,2016-09-21,2016-09-21,,Great Expectations,https://www.imdb.com/title/tt0038574/,movie,7.8,118,1946,"Adventure, Drama, Mystery, Romance",20735,1946-12-16,David Lean
6,tt0041546,2016-09-21,2016-09-21,,Kind Hearts and Coronets,https://www.imdb.com/title/tt0041546/,movie,8.0,106,1949,"Comedy, Crime",32605,1949-06-23,Robert Hamer
7,tt0064541,2016-09-21,2016-09-21,,Kes,https://www.imdb.com/title/tt0064541/,movie,7.9,111,1969,"Drama, Family",17071,1969-11-19,Ken Loach
8,tt0069995,2016-09-21,2016-09-21,,Don't Look Now,https://www.imdb.com/title/tt0069995/,movie,7.3,110,1973,"Drama, Horror, Thriller",44921,1973-10-11,Nicolas Roeg
9,tt0040725,2016-09-21,2016-09-21,,The Red Shoes,https://www.imdb.com/title/tt0040725/,movie,8.2,135,1948,"Drama, Music, Romance",26415,1948-07-22,"Michael Powell, Emeric Pressburger"
10,tt0117951,2016-09-21,2016-09-21,,Trainspotting,https://www.imdb.com/title/tt0117951/,movie,8.1,93,1996,Drama,602395,1996-02-23,Danny Boyle
11,tt0050212,2016-09-21,2016-09-21,,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.1,161,1957,"Adventure, Drama, War",190409,1957-10-02,David Lean
12,tt0063850,2016-09-21,2016-09-21,,If....,https://www.imdb.com/title/tt0063850/,movie,7.6,111,1968,"Crime, Drama",20651,1968-12-19,Lindsay Anderson
