Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0036872,2017-12-29,2017-12-29,,Going My Way,https://www.imdb.com/title/tt0036872/,movie,7.1,126,1944,"Comedy, Drama, Music",9549,1944-05-03,Leo McCarey
2,tt0036868,2017-12-29,2017-12-29,,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.0,170,1946,"Drama, Romance, War",54336,1946-11-21,William Wyler
3,tt0041113,2017-12-29,2017-12-29,,All the King's Men,https://www.imdb.com/title/tt0041113/,movie,7.5,110,1949,"Drama, Film-Noir",12259,1949-11-08,Robert Rossen
4,tt0043278,2017-12-29,2017-12-29,,An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",28093,1951-08-26,Vincente Minnelli
5,tt0044672,2017-12-29,2017-12-29,,The Greatest Show on Earth,https://www.imdb.com/title/tt0044672/,movie,6.6,152,1952,"Drama, Family, Romance",11920,1952-01-10,Cecil B. DeMille
6,tt0047296,2017-12-29,2017-12-29,,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.1,108,1954,"Crime, Drama, Thriller",132008,1954-06-22,Elia Kazan
7,tt0048960,2017-12-29,2017-12-29,,Around the World in 80 Days,https://www.imdb.com/title/tt0048960/,movie,6.8,175,1956,"Adventure, Comedy, Family, Romance",22742,1956-10-17,"John Farrow, Michael Anderson"
8,tt0050212,2017-12-29,2017-12-29,,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.1,161,1957,"Adventure, Drama, War",190409,1957-10-02,David Lean
9,tt0052618,2017-12-29,2017-12-29,,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",205970,1959-11-18,William Wyler
10,tt0053604,2017-12-29,2017-12-29,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",149375,1960-06-15,Billy Wilder
11,tt0056172,2017-12-29,2017-12-29,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",249515,1962-12-10,David Lean
12,tt0057590,2017-12-29,2017-12-29,,Tom Jones,https://www.imdb.com/title/tt0057590/,movie,6.5,129,1963,"Adventure, Comedy, History",10722,1963-06-26,Tony Richardson
13,tt0058385,2017-12-29,2017-12-29,,My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.8,170,1964,"Drama, Family, Musical, Romance",81377,1964-10-21,George Cukor
14,tt0059742,2017-12-29,2017-12-29,,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8.0,172,1965,"Biography, Drama, Family, Musical, Romance",187482,1965-03-02,Robert Wise
15,tt0061811,2017-12-29,2017-12-29,,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,8.0,110,1967,"Crime, Drama, Mystery, Thriller",62141,1967-08-02,Norman Jewison
16,tt0063385,2017-12-29,2017-12-29,,Oliver!,https://www.imdb.com/title/tt0063385/,movie,7.4,153,1968,"Drama, Family, Musical",32103,1968-09-26,Carol Reed
17,tt0067116,2017-12-29,2017-12-29,,The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.7,104,1971,"Action, Crime, Drama, Thriller",101974,1971-10-07,William Friedkin
18,tt0068646,2017-12-29,2017-12-29,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1485901,1972-03-14,Francis Ford Coppola
19,tt0073486,2017-12-29,2017-12-29,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,854656,1975-11-19,Milos Forman
20,tt0081283,2017-12-29,2017-12-29,,Ordinary People,https://www.imdb.com/title/tt0081283/,movie,7.7,124,1980,Drama,43360,1980-09-19,Robert Redford
21,tt0086425,2017-12-29,2017-12-29,,Terms of Endearment,https://www.imdb.com/title/tt0086425/,movie,7.4,132,1983,"Comedy, Drama",50772,1983-11-20,James L. Brooks
22,tt0086879,2017-12-29,2017-12-29,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",345992,1984-09-06,Milos Forman
23,tt0091763,2017-12-29,2017-12-29,,Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",359416,1986-12-19,Oliver Stone
24,tt0093389,2017-12-29,2017-12-29,,The Last Emperor,https://www.imdb.com/title/tt0093389/,movie,7.7,163,1987,"Biography, Drama, History",87021,1987-10-04,Bernardo Bertolucci
25,tt0097239,2017-12-29,2017-12-29,,Driving Miss Daisy,https://www.imdb.com/title/tt0097239/,movie,7.4,99,1989,Drama,91433,1989-12-11,Bruce Beresford
26,tt0099348,2017-12-29,2017-12-29,,Dances with Wolves,https://www.imdb.com/title/tt0099348/,movie,8.0,181,1990,"Adventure, Drama, Western",225679,1990-10-19,Kevin Costner
27,tt0108052,2017-12-29,2017-12-29,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1122983,1993-11-30,Steven Spielberg
28,tt0109830,2017-12-29,2017-12-29,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1666862,1994-06-23,Robert Zemeckis
29,tt0116209,2017-12-29,2017-12-29,,The English Patient,https://www.imdb.com/title/tt0116209/,movie,7.4,162,1996,"Drama, Romance, War",168975,1996-10-31,Anthony Minghella
30,tt0138097,2017-12-29,2017-12-29,,Shakespeare in Love,https://www.imdb.com/title/tt0138097/,movie,7.1,123,1998,"Comedy, Drama, History, Romance",204536,1998-12-03,John Madden
31,tt0172495,2017-12-29,2017-12-29,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1249412,2000-05-01,Ridley Scott
32,tt0268978,2017-12-29,2017-12-29,,A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",791530,2001-12-13,Ron Howard
33,tt0299658,2017-12-29,2017-12-29,,Chicago,https://www.imdb.com/title/tt0299658/,movie,7.1,113,2002,"Comedy, Crime, Musical",204852,2002-12-10,Rob Marshall
34,tt0167260,2017-12-29,2017-12-29,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1536823,2003-12-01,Peter Jackson
35,tt1655442,2017-12-29,2017-12-29,,The Artist,https://www.imdb.com/title/tt1655442/,movie,7.9,100,2011,"Comedy, Drama, Romance",220076,2011-05-15,Michel Hazanavicius
36,tt1024648,2017-12-29,2017-12-29,,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",544700,2012-08-31,Ben Affleck
37,tt4975722,2017-12-29,2017-12-29,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,239724,2016-09-02,Barry Jenkins
