Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0033467,2016-03-12,2016-03-12,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372090,1941-05-01,Orson Welles
2,tt0048424,2016-03-12,2016-03-12,,The Night of the Hunter,https://www.imdb.com/title/tt0048424/,movie,8.0,92,1955,"Crime, Drama, Film-Noir, Thriller",76757,1955-07-26,Charles Laughton
3,tt0031885,2016-03-12,2016-03-12,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24793,1939-07-08,Jean Renoir
4,tt0018455,2016-03-12,2016-03-12,,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",44330,1927-09-23,F.W. Murnau
5,tt0024844,2016-03-12,2016-03-12,,L'Atalante,https://www.imdb.com/title/tt0024844/,movie,7.8,89,1934,"Comedy, Drama, Romance",13328,1934-04-24,Jean Vigo
6,tt0022100,2016-03-12,2016-03-12,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132118,1931-05-11,Fritz Lang
7,tt0045152,2016-03-12,2016-03-12,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",202772,1952-03-27,"Gene Kelly, Stanley Donen"
8,tt0052357,2016-03-12,2016-03-12,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",330982,1958-05-09,Alfred Hitchcock
9,tt0037674,2016-03-12,2016-03-12,,Les enfants du paradis,https://www.imdb.com/title/tt0037674/,movie,8.4,189,1945,"Drama, Romance",17092,1945-03-09,Marcel Carné
10,tt0049730,2016-03-12,2016-03-12,,The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.9,119,1956,"Adventure, Drama, Western",74722,1956-05-16,John Ford
11,tt0015881,2016-03-12,2016-03-12,,Greed,https://www.imdb.com/title/tt0015881/,movie,8.1,140,1924,"Drama, Thriller, Western",8441,1924-12-04,Erich von Stroheim
12,tt0053221,2016-03-12,2016-03-12,,Rio Bravo,https://www.imdb.com/title/tt0053221/,movie,8.0,141,1959,"Action, Drama, Western",52139,1959-03-18,Howard Hawks
13,tt0035446,2016-03-12,2016-03-12,,To Be or Not to Be,https://www.imdb.com/title/tt0035446/,movie,8.3,99,1942,"Comedy, War",23971,1942-02-19,Ernst Lubitsch
14,tt0046438,2016-03-12,2016-03-12,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45722,1953-11-03,Yasujirô Ozu
15,tt0057345,2016-03-12,2016-03-12,,Le mépris,https://www.imdb.com/title/tt0057345/,movie,7.6,103,1963,"Drama, Romance",25571,1963-10-29,Jean-Luc Godard
16,tt0046478,2016-03-12,2016-03-12,,Ugetsu monogatari,https://www.imdb.com/title/tt0046478/,movie,8.3,96,1953,"Drama, Fantasy, War",18554,1953-03-26,Kenji Mizoguchi
17,tt0021749,2016-03-12,2016-03-12,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",152794,1931-01-30,Charles Chaplin
18,tt0017925,2016-03-12,2016-03-12,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War, Western",73784,1926-12-31,"Buster Keaton, Clyde Bruckman"
19,tt0013442,2016-03-12,2016-03-12,,"Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,movie,7.9,94,1922,"Fantasy, Horror",82902,1922-02-17,F.W. Murnau
20,tt0051792,2016-03-12,2016-03-12,,Jalsaghar,https://www.imdb.com/title/tt0051792/,movie,8.0,100,1958,"Drama, Music",4632,1958-10-10,Satyajit Ray
21,tt0022913,2016-03-12,2016-03-12,,Freaks,https://www.imdb.com/title/tt0022913/,movie,7.9,64,1932,"Drama, Horror",39363,1932-02-12,Tod Browning
22,tt0047136,2016-03-12,2016-03-12,,Johnny Guitar,https://www.imdb.com/title/tt0047136/,movie,7.7,110,1954,"Drama, Western",14261,1954-05-05,Nicholas Ray
23,tt0070359,2016-03-12,2016-03-12,,La maman et la putain,https://www.imdb.com/title/tt0070359/,movie,8.0,217,1973,"Drama, Romance",4540,1973-05-17,Jean Eustache
24,tt0032553,2016-03-12,2016-03-12,,The Great Dictator,https://www.imdb.com/title/tt0032553/,movie,8.5,125,1940,"Comedy, Drama, War",186718,1940-10-15,Charles Chaplin
25,tt0057091,2016-03-12,2016-03-12,,Il gattopardo,https://www.imdb.com/title/tt0057091/,movie,8.0,186,1963,"Drama, History",20842,1963-03-27,Luchino Visconti
26,tt0052893,2016-03-12,2016-03-12,,Hiroshima mon amour,https://www.imdb.com/title/tt0052893/,movie,7.9,90,1959,"Drama, Romance",25575,1959-05-08,Alain Resnais
27,tt0018737,2016-03-12,2016-03-12,,Die Büchse der Pandora,https://www.imdb.com/title/tt0018737/,movie,7.9,109,1929,"Crime, Drama, Romance",9101,1929-01-30,Georg Wilhelm Pabst
28,tt0053125,2016-03-12,2016-03-12,,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",278845,1959-07-01,Alfred Hitchcock
29,tt0053168,2016-03-12,2016-03-12,,Pickpocket,https://www.imdb.com/title/tt0053168/,movie,7.7,76,1959,"Crime, Drama",17593,1959-12-16,Robert Bresson
30,tt0043386,2016-03-12,2016-03-12,,Casque d'or,https://www.imdb.com/title/tt0043386/,movie,7.7,96,1952,"Crime, Drama, Romance",4459,1952-03-13,Jacques Becker
31,tt0046754,2016-03-12,2016-03-12,,The Barefoot Contessa,https://www.imdb.com/title/tt0046754/,movie,7.0,128,1954,"Crime, Drama, Mystery, Romance",9003,1954-09-29,Joseph L. Mankiewicz
32,tt0048387,2016-03-12,2016-03-12,,Moonfleet,https://www.imdb.com/title/tt0048387/,movie,6.7,84,1955,"Adventure, Drama",3008,1955-06-24,Fritz Lang
33,tt0046022,2016-03-12,2016-03-12,,Madame de...,https://www.imdb.com/title/tt0046022/,movie,8.0,105,1953,"Drama, Romance",8094,1953-09-16,Max Ophüls
