Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0032080,2014-05-19,2014-05-19,,Union Pacific,https://www.imdb.com/title/tt0032080/,movie,7.1,135,1939,"Drama, Western",2411,1939-04-27,Cecil B. DeMille
2,tt0038647,2014-05-19,2014-05-19,,Iris och löjtnantshjärta,https://www.imdb.com/title/tt0038647/,movie,7.1,86,1946,Drama,50,1946-12-16,Alf Sjöberg
3,tt0037884,2014-05-19,2014-05-19,,The Lost Weekend,https://www.imdb.com/title/tt0037884/,movie,7.9,101,1945,"Drama, Film-Noir",31302,1945-10-05,Billy Wilder
4,tt0038043,2014-05-19,2014-05-19,,De røde enge,https://www.imdb.com/title/tt0038043/,movie,6.7,85,1945,"War, Drama",243,1945-12-26,"Bodil Ipsen, Lau Lauritzen"
5,tt0037558,2014-05-19,2014-05-19,,Brief Encounter,https://www.imdb.com/title/tt0037558/,movie,8.0,86,1945,"Drama, Romance",32667,1945-11-19,David Lean
6,tt0037054,2014-05-19,2014-05-19,,María Candelaria (Xochimilco),https://www.imdb.com/title/tt0037054/,movie,7.4,102,1944,"Romance, Drama",870,1944-01-20,Emilio Fernández
7,tt0154942,2014-05-19,2014-05-19,,Neecha Nagar,https://www.imdb.com/title/tt0154942/,movie,6.9,122,1946,Drama,117,1946-09-30,Chetan Anand
8,tt0037426,2014-05-19,2014-05-19,,Velikiy perelom,https://www.imdb.com/title/tt0037426/,movie,6.3,108,1945,"Drama, War",129,1945-01-29,Fridrikh Ermler
9,tt0039004,2014-05-19,2014-05-19,,La symphonie pastorale,https://www.imdb.com/title/tt0039004/,movie,6.9,110,1946,Drama,428,1946-09-26,Jean Delannoy
10,tt0037871,2014-05-19,2014-05-19,,Die letzte Chance,https://www.imdb.com/title/tt0037871/,movie,6.7,113,1945,"Drama, War",308,1945-05-26,Leopold Lindtberg
11,tt0038890,2014-05-19,2014-05-19,,Roma città aperta,https://www.imdb.com/title/tt0038890/,movie,8.1,103,1945,"Drama, Thriller, War",21117,1945-09-24,Roberto Rossellini
12,tt0038760,2014-05-19,2014-05-19,,Muzi bez krídel,https://www.imdb.com/title/tt0038760/,movie,7.2,79,1946,"Drama, War",73,1946-10-25,Frantisek Cáp
13,tt0041959,2014-05-19,2014-05-19,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",148994,1949-05-31,Carol Reed
14,tt0043809,2014-05-19,2014-05-19,,Miracolo a Milano,https://www.imdb.com/title/tt0043809/,movie,7.7,97,1951,"Comedy, Drama, Fantasy",5648,1951-02-08,Vittorio De Sica
15,tt0043567,2014-05-19,2014-05-19,,Fröken Julie,https://www.imdb.com/title/tt0043567/,movie,7.3,90,1951,"Drama, Romance",1511,1951-04-06,Alf Sjöberg
16,tt0044572,2014-05-19,2014-05-19,,Due soldi di speranza,https://www.imdb.com/title/tt0044572/,movie,7.2,110,1952,"Comedy, Romance",452,1952-04-10,Renato Castellani
17,tt0045251,2014-05-19,2014-05-19,,The Tragedy of Othello: The Moor of Venice,https://www.imdb.com/title/tt0045251/,movie,7.6,90,1951,"Drama, History, Romance",6986,1951-11-27,Orson Welles
18,tt0046268,2014-05-19,2014-05-19,,Le salaire de la peur,https://www.imdb.com/title/tt0046268/,movie,8.1,131,1953,"Adventure, Drama, Thriller",49869,1953-04-15,Henri-Georges Clouzot
19,tt0045935,2014-05-19,2014-05-19,,Jigokumon,https://www.imdb.com/title/tt0045935/,movie,7.2,89,1953,"Drama, History, Romance",2823,1953-10-31,Teinosuke Kinugasa
20,tt0048356,2014-05-19,2014-05-19,,Marty,https://www.imdb.com/title/tt0048356/,movie,7.7,90,1955,"Drama, Romance",19768,1955-04-11,Delbert Mann
21,tt0049518,2014-05-19,2014-05-19,,Le monde du silence,https://www.imdb.com/title/tt0049518/,movie,7.1,86,1956,Documentary,1275,1956-05-26,"Louis Malle, Jacques-Yves Cousteau"
22,tt0049233,2014-05-19,2014-05-19,,Friendly Persuasion,https://www.imdb.com/title/tt0049233/,movie,7.4,137,1956,"Drama, Romance, War, Western",5936,1956-10-24,William Wyler
23,tt0050634,2014-05-19,2014-05-19,,Letyat zhuravli,https://www.imdb.com/title/tt0050634/,movie,8.3,95,1957,"Drama, Romance, War",13376,1957-10-12,Mikhail Kalatozov
24,tt0053146,2014-05-19,2014-05-19,,Orfeu Negro,https://www.imdb.com/title/tt0053146/,movie,7.5,100,1959,"Drama, Fantasy, Music, Romance",8929,1959-05-12,Marcel Camus
25,tt0053779,2014-05-19,2014-05-19,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",60463,1960-02-03,Federico Fellini
26,tt0054426,2014-05-19,2014-05-19,,Une aussi longue absence,https://www.imdb.com/title/tt0054426/,movie,6.9,94,1961,Drama,487,1961-05-17,Henri Colpi
27,tt0055601,2014-05-19,2014-05-19,,Viridiana,https://www.imdb.com/title/tt0055601/,movie,8.2,90,1961,"Comedy, Drama",20297,1961-05-17,Luis Buñuel
