Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0072037,2016-12-30,2016-12-30,,Profumo di donna,https://www.imdb.com/title/tt0072037/,movie,7.6,103,1974,"Comedy, Drama",3481,1974-12-20,Dino Risi
2,tt0075793,2016-12-30,2016-12-30,,C'eravamo tanto amati,https://www.imdb.com/title/tt0075793/,movie,8.1,124,1974,"Comedy, Drama",4661,1974-12-21,Ettore Scola
3,tt0076085,2016-12-30,2016-12-30,,Una giornata particolare,https://www.imdb.com/title/tt0076085/,movie,8.1,106,1977,Drama,10219,1977-05-19,Ettore Scola
4,tt0077138,2016-12-30,2016-12-30,,L'albero degli zoccoli,https://www.imdb.com/title/tt0077138/,movie,7.9,186,1978,"Drama, History",4825,1978-05-17,Ermanno Olmi
5,tt0079522,2016-12-30,2016-12-30,,Manhattan,https://www.imdb.com/title/tt0079522/,movie,7.9,96,1979,"Comedy, Drama, Romance",123989,1979-04-18,Woody Allen
6,tt0080979,2016-12-30,2016-12-30,,Kagemusha,https://www.imdb.com/title/tt0080979/,movie,8.0,180,1980,"Drama, History, War",29363,1980-04-23,Akira Kurosawa
7,tt0080678,2016-12-30,2016-12-30,,The Elephant Man,https://www.imdb.com/title/tt0080678/,movie,8.1,124,1980,"Biography, Drama",204708,1980-10-02,David Lynch
8,tt0084865,2016-12-30,2016-12-30,,Victor Victoria,https://www.imdb.com/title/tt0084865/,movie,7.6,134,1982,"Comedy, Music, Musical, Romance",18273,1982-03-16,Blake Edwards
9,tt0083922,2016-12-30,2016-12-30,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,53180,1982-12-17,Ingmar Bergman
10,tt0086879,2016-12-30,2016-12-30,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",345398,1984-09-06,Milos Forman
11,tt0089853,2016-12-30,2016-12-30,,The Purple Rose of Cairo,https://www.imdb.com/title/tt0089853/,movie,7.7,82,1985,"Comedy, Fantasy, Romance",43985,1985-01-26,Woody Allen
