Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0073864,2016-12-01,2016-12-01,,Le vieux fusil,https://www.imdb.com/title/tt0073864/,movie,7.7,103,1975,"Drama, Thriller, War",3378,1975-08-22,Robert Enrico
2,tt0074916,2016-12-01,2016-12-01,,Mr. Klein,https://www.imdb.com/title/tt0074916/,movie,7.6,123,1976,"Crime, Drama, Mystery, Thriller, War",4870,1976-05-22,Joseph Losey
3,tt0076574,2016-12-01,2016-12-01,,Providence,https://www.imdb.com/title/tt0076574/,movie,7.7,110,1977,Drama,2806,1977-01-25,Alain Resnais
4,tt0077175,2016-12-01,2016-12-01,,L'argent des autres,https://www.imdb.com/title/tt0077175/,movie,6.7,105,1978,Drama,303,1978-09-27,Christian de Chalonge
5,tt0080009,2016-12-01,2016-12-01,,Tess,https://www.imdb.com/title/tt0080009/,movie,7.3,170,1979,"Drama, Romance",13895,1979-10-25,Roman Polanski
6,tt0080610,2016-12-01,2016-12-01,,Le dernier métro,https://www.imdb.com/title/tt0080610/,movie,7.4,131,1980,"Drama, Romance, War",11367,1980-09-17,François Truffaut
7,tt0082484,2016-12-01,2016-12-01,,La guerre du feu,https://www.imdb.com/title/tt0082484/,movie,7.3,100,1981,"Adventure, Drama, History",19467,1981-12-16,Jean-Jacques Annaud
8,tt0083611,2016-12-01,2016-12-01,,La balance,https://www.imdb.com/title/tt0083611/,movie,6.6,103,1982,"Crime, Drama, Romance, Thriller",1001,1982-11-10,Bob Swaim
9,tt0085213,2016-12-01,2016-12-01,,Le bal,https://www.imdb.com/title/tt0085213/,movie,7.8,112,1983,"History, Musical",2326,1983-12-21,Ettore Scola
10,tt0086650,2016-12-01,2016-12-01,,À nos amours,https://www.imdb.com/title/tt0086650/,movie,7.3,99,1983,"Drama, Romance",4846,1983-11-16,Maurice Pialat
11,tt0088002,2016-12-01,2016-12-01,,Les ripoux,https://www.imdb.com/title/tt0088002/,movie,7.2,107,1984,"Comedy, Crime",3731,1984-09-19,Claude Zidi
12,tt0090206,2016-12-01,2016-12-01,,3 hommes et un couffin,https://www.imdb.com/title/tt0090206/,movie,6.5,106,1985,Comedy,3135,1985-09-18,Coline Serreau
13,tt0092090,2016-12-01,2016-12-01,,Thérèse,https://www.imdb.com/title/tt0092090/,movie,7.3,94,1986,Drama,760,1986-05-16,Alain Cavalier
14,tt0092593,2016-12-01,2016-12-01,,Au revoir les enfants,https://www.imdb.com/title/tt0092593/,movie,8.0,104,1987,"Drama, War",28740,1987-08-31,Louis Malle
15,tt0094828,2016-12-01,2016-12-01,,Camille Claudel,https://www.imdb.com/title/tt0094828/,movie,7.3,175,1988,"Biography, Drama, History, Romance",5764,1988-12-07,Bruno Nuytten
16,tt0098520,2016-12-01,2016-12-01,,Trop belle pour toi,https://www.imdb.com/title/tt0098520/,movie,6.7,91,1989,"Comedy, Drama, Romance",2306,1989-05-12,Bertrand Blier
17,tt0099334,2016-12-01,2016-12-01,,Cyrano de Bergerac,https://www.imdb.com/title/tt0099334/,movie,7.5,137,1990,"Comedy, Drama, History, Romance",21141,1990-03-28,Jean-Paul Rappeneau
18,tt0103110,2016-12-01,2016-12-01,,Tous les matins du monde,https://www.imdb.com/title/tt0103110/,movie,7.5,115,1991,"Biography, Drama, History, Music, Romance",6057,1991-12-18,Alain Corneau
19,tt0105032,2016-12-01,2016-12-01,,Les nuits fauves,https://www.imdb.com/title/tt0105032/,movie,7.0,126,1992,"Biography, Drama",2072,1992-10-21,Cyril Collard
