Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0010323,2013-05-01,2013-05-01,,Das Cabinet des Dr. Caligari,https://www.imdb.com/title/tt0010323/,movie,8.1,76,1920,"Fantasy, Horror, Mystery, Thriller",51791,1920-02-26,Robert Wiene
2,tt0014429,2013-05-01,2013-05-01,,Safety Last!,https://www.imdb.com/title/tt0014429/,movie,8.1,74,1923,"Action, Comedy, Thriller",16836,1923-04-01,"Fred C. Newmeyer, Sam Taylor"
3,tt0015648,2013-05-01,2013-05-01,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller",49319,1925-12-24,Sergei M. Eisenstein
4,tt0019760,2013-05-01,2013-05-01,,Chelovek s kino-apparatom,https://www.imdb.com/title/tt0019760/,movie,8.4,68,1929,"Documentary, Music",20435,1929-01-08,Dziga Vertov
5,tt0020163,2013-05-01,2013-05-01,,Menschen am Sonntag,https://www.imdb.com/title/tt0020163/,movie,7.4,73,1930,"Comedy, Drama, Romance",2519,1930-02-04,"Robert Siodmak, Fred Zinnemann, Rochus Gliese, Curt Siodmak, Edgar G. Ulmer"
6,tt0020697,2013-05-01,2013-05-01,,Der blaue Engel,https://www.imdb.com/title/tt0020697/,movie,7.7,104,1930,"Drama, Music",12736,1930-04-01,Josef von Sternberg
7,tt0022599,2013-05-01,2013-05-01,,À nous la liberté,https://www.imdb.com/title/tt0022599/,movie,7.5,104,1931,"Comedy, Musical",3819,1931-12-18,René Clair
8,tt0022913,2013-05-01,2013-05-01,,Freaks,https://www.imdb.com/title/tt0022913/,movie,7.9,64,1932,"Drama, Horror",39453,1932-02-12,Tod Browning
9,tt0024844,2013-05-01,2013-05-01,,L'Atalante,https://www.imdb.com/title/tt0024844/,movie,7.8,89,1934,"Comedy, Drama, Romance",13356,1934-04-24,Jean Vigo
10,tt0031885,2013-05-01,2013-05-01,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24841,1939-07-08,Jean Renoir
