Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt6173484,2019-11-24,2019-11-24,Indianapolis 2019,"Standing Up, Falling Down",https://www.imdb.com/title/tt6173484/,movie,8.0,91,2019,"Comedy, Drama",36,2019-04-25,Matt Ratner
2,tt1824932,2019-11-24,2019-11-24,Montreal 2019,Canción sin nombre,https://www.imdb.com/title/tt1824932/,movie,6.9,97,2019,Drama,129,2019-05-16,Melina León
3,tt9261284,2019-11-24,2019-11-24,Chemnitz 2019,Eia jõulud Tondikakul,https://www.imdb.com/title/tt9261284/,movie,8.0,90,2018,Family,209,2018-11-17,Anu Aun
4,tt2398149,2019-11-24,2019-11-24,Venice 2019,J'accuse,https://www.imdb.com/title/tt2398149/,movie,7.4,132,2019,"Drama, History, Thriller",1394,2019-08-30,Roman Polanski
5,tt9028522,2019-11-24,2019-11-24,Venice 2019,White on White,https://www.imdb.com/title/tt9028522/,movie,6.4,100,2019,Drama,71,2019-09-03,Théo Court
6,tt10907844,2019-11-21,2019-11-21,Busan 2019,Running to the Sky,https://www.imdb.com/title/tt10907844/,movie,,88,2019,Drama,,2019-10-07,Mirlan Abdykalykov
7,tt8471116,2019-11-21,2019-11-21,Warsaw 2019,Cat in the Wall,https://www.imdb.com/title/tt8471116/,movie,6.2,92,2019,Drama,53,2019-08-15,"Mina Mileva, Vesela Kazakova"
8,tt6390668,2019-11-21,2019-11-21,Valladolid 2019,A Vida Invisível,https://www.imdb.com/title/tt6390668/,movie,8.0,139,2019,Drama,980,2019-05-20,Karim Aïnouz
9,tt9792010,2019-11-21,2019-11-21,Leipzig 2019,Exemplary Behaviour,https://www.imdb.com/title/tt9792010/,movie,,85,2019,Documentary,,2019-10-31,"Nerijus Milerius, Audrius Mickevicius"
10,tt5665630,2019-11-21,2019-11-21,Riga 2019,Skandinaavia vaikus,https://www.imdb.com/title/tt5665630/,movie,6.4,80,2019,"Drama, Thriller",73,2019-03-29,Martti Helde
