Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0006864,2017-02-12,2017-02-12,,Intolerance: Love's Struggle Throughout the Ages,https://www.imdb.com/title/tt0006864/,movie,7.8,163,1916,"Drama, History",13119,1916-09-05,D.W. Griffith
2,tt0010323,2017-02-12,2017-02-12,,Das Cabinet des Dr. Caligari,https://www.imdb.com/title/tt0010323/,movie,8.1,76,1920,"Fantasy, Horror, Mystery, Thriller",51668,1920-02-26,Robert Wiene
3,tt0015864,2017-02-12,2017-02-12,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",92003,1925-06-26,Charles Chaplin
4,tt0015648,2017-02-12,2017-02-12,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller",49236,1925-12-24,Sergei M. Eisenstein
5,tt0017136,2017-02-12,2017-02-12,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",148458,1927-01-10,Fritz Lang
6,tt0019760,2017-02-12,2017-02-12,,Chelovek s kino-apparatom,https://www.imdb.com/title/tt0019760/,movie,8.4,68,1929,"Documentary, Music",20382,1929-01-08,Dziga Vertov
7,tt0021577,2017-02-12,2017-02-12,,L'âge d'or,https://www.imdb.com/title/tt0021577/,movie,7.3,60,1930,"Comedy, Drama",11763,1930-11-28,Luis Buñuel
8,tt0022100,2017-02-12,2017-02-12,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",132113,1931-05-11,Fritz Lang
9,tt0022913,2017-02-12,2017-02-12,,Freaks,https://www.imdb.com/title/tt0022913/,movie,7.9,64,1932,"Drama, Horror",39362,1932-02-12,Tod Browning
10,tt0023649,2017-02-12,2017-02-12,,Vampyr,https://www.imdb.com/title/tt0023649/,movie,7.6,75,1932,"Fantasy, Horror",14334,1932-05-06,Carl Theodor Dreyer
11,tt0031885,2017-02-12,2017-02-12,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24793,1939-07-08,Jean Renoir
12,tt0032156,2017-02-12,2017-02-12,,Zangiku monogatari,https://www.imdb.com/title/tt0032156/,movie,7.9,143,1939,"Drama, Romance",2844,1939-10-10,Kenji Mizoguchi
