Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0060827,2014-05-22,2014-05-22,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90697,1966-10-18,Ingmar Bergman
2,tt0063611,2014-05-22,2014-05-22,,Skammen,https://www.imdb.com/title/tt0063611/,movie,8.1,103,1968,Drama,10903,1968-09-29,Ingmar Bergman
3,tt0065234,2014-05-22,2014-05-22,,Z,https://www.imdb.com/title/tt0065234/,movie,8.3,127,1969,"Crime, Drama, History, Thriller",21938,1969-02-26,Costa-Gavras
4,tt0065772,2014-05-22,2014-05-22,,Le genou de Claire,https://www.imdb.com/title/tt0065772/,movie,7.7,105,1970,"Drama, Romance",7748,1970-12-11,Éric Rohmer
5,tt0070644,2014-05-22,2014-05-22,,Scener ur ett äktenskap,https://www.imdb.com/title/tt0070644/,tvMiniSeries,8.4,283,1973,Drama,14028,1973-04-11,
6,tt0078122,2014-05-22,2014-05-22,,Préparez vos mouchoirs,https://www.imdb.com/title/tt0078122/,movie,6.9,108,1978,"Comedy, Drama, Romance",3213,1978-01-11,Bertrand Blier
7,tt0078902,2014-05-22,2014-05-22,,Breaking Away,https://www.imdb.com/title/tt0078902/,movie,7.7,101,1979,"Comedy, Drama, Romance, Sport",20502,1979-07-13,Peter Yates
8,tt0081150,2014-05-22,2014-05-22,,Melvin and Howard,https://www.imdb.com/title/tt0081150/,movie,6.8,95,1980,"Comedy, Drama",4102,1980-09-19,Jonathan Demme
9,tt0080388,2014-05-22,2014-05-22,,"Atlantic City, USA",https://www.imdb.com/title/tt0080388/,movie,7.3,104,1980,"Crime, Drama, Romance",13675,1980-09-02,Louis Malle
10,tt0084422,2014-05-22,2014-05-22,,La notte di San Lorenzo,https://www.imdb.com/title/tt0084422/,movie,7.4,107,1982,"Drama, Romance, War",3536,1982-05-18,"Vittorio Taviani, Paolo Taviani"
11,tt0100024,2014-05-22,2014-05-22,,Life Is Sweet,https://www.imdb.com/title/tt0100024/,movie,7.5,103,1990,"Comedy, Drama",8201,1990-11-15,Mike Leigh
12,tt0115751,2014-05-22,2014-05-22,,Breaking the Waves,https://www.imdb.com/title/tt0115751/,movie,7.9,159,1996,Drama,58607,1996-05-13,Lars von Trier
13,tt0151568,2014-05-22,2014-05-22,,Topsy-Turvy,https://www.imdb.com/title/tt0151568/,movie,7.3,154,1999,"Biography, Comedy, Drama, History, Music, Musical",11217,1999-09-03,Mike Leigh
14,tt0244316,2014-05-22,2014-05-22,,Yi yi,https://www.imdb.com/title/tt0244316/,movie,8.1,173,2000,"Drama, Romance",17818,2000-05-15,Edward Yang
15,tt1527186,2014-05-22,2014-05-22,,Melancholia,https://www.imdb.com/title/tt1527186/,movie,7.1,135,2011,"Drama, Sci-Fi",156875,2011-05-18,Lars von Trier
16,tt1602620,2014-05-22,2014-05-22,,Amour,https://www.imdb.com/title/tt1602620/,movie,7.9,127,2012,"Drama, Romance",86808,2012-05-20,Michael Haneke
