Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0046438,2012-09-22,2012-09-22,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45722,1953-11-03,Yasujirô Ozu
2,tt0062622,2012-09-22,2012-09-22,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",558436,1968-04-02,Stanley Kubrick
3,tt0033467,2012-09-22,2012-09-22,(=2),Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372090,1941-05-01,Orson Welles
4,tt0056801,2012-09-22,2012-09-22,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101224,1963-02-13,Federico Fellini
5,tt0075314,2012-09-22,2012-09-22,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",661611,1976-02-08,Martin Scorsese
6,tt0078788,2012-09-22,2012-09-22,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",563499,1979-05-19,Francis Ford Coppola
7,tt0052357,2012-09-22,2012-09-22,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",330982,1958-05-09,Alfred Hitchcock
8,tt0068646,2012-09-22,2012-09-22,(=7),The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1482821,1972-03-14,Francis Ford Coppola
9,tt0072443,2012-09-22,2012-09-22,,Zerkalo,https://www.imdb.com/title/tt0072443/,movie,8.1,107,1975,"Biography, Drama",34168,1975-03-07,Andrei Tarkovsky
10,tt0040522,2012-09-22,2012-09-22,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,132323,1948-11-24,Vittorio De Sica
11,tt0053472,2012-09-22,2012-09-22,,À bout de souffle,https://www.imdb.com/title/tt0053472/,movie,7.9,90,1960,"Crime, Drama",66449,1960-03-16,Jean-Luc Godard
12,tt0081398,2012-09-22,2012-09-22,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",296868,1980-11-13,Martin Scorsese
13,tt0060827,2012-09-22,2012-09-22,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90412,1966-10-18,Ingmar Bergman
14,tt0053198,2012-09-22,2012-09-22,(=13),Les quatre cents coups,https://www.imdb.com/title/tt0053198/,movie,8.1,99,1959,"Crime, Drama",94958,1959-05-04,François Truffaut
15,tt0060107,2012-09-22,2012-09-22,(=13),Andrey Rublev,https://www.imdb.com/title/tt0060107/,movie,8.2,205,1966,"Biography, Drama, History",40771,1966-12-31,Andrei Tarkovsky
16,tt0083922,2012-09-22,2012-09-22,,Fanny och Alexander,https://www.imdb.com/title/tt0083922/,movie,8.1,188,1982,Drama,53180,1982-12-17,Ingmar Bergman
17,tt0047478,2012-09-22,2012-09-22,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",292346,1954-04-26,Akira Kurosawa
18,tt0042876,2012-09-22,2012-09-22,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",139640,1950-08-26,Akira Kurosawa
19,tt0072684,2012-09-22,2012-09-22,,Barry Lyndon,https://www.imdb.com/title/tt0072684/,movie,8.1,185,1975,"Adventure, Drama, History, War",136455,1975-12-11,Stanley Kubrick
20,tt0048452,2012-09-22,2012-09-22,(=19),Ordet,https://www.imdb.com/title/tt0048452/,movie,8.3,126,1955,"Drama, Fantasy",12602,1955-01-10,Carl Theodor Dreyer
21,tt0060138,2012-09-22,2012-09-22,,Au hasard Balthazar,https://www.imdb.com/title/tt0060138/,movie,7.9,95,1966,Drama,15816,1966-05-15,Robert Bresson
22,tt0027977,2012-09-22,2012-09-22,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",198081,1936-02-05,Charles Chaplin
23,tt0024844,2012-09-22,2012-09-22,(=22),L'Atalante,https://www.imdb.com/title/tt0024844/,movie,7.8,89,1934,"Comedy, Drama, Romance",13328,1934-04-24,Jean Vigo
24,tt0018455,2012-09-22,2012-09-22,(=22),Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",44330,1927-09-23,F.W. Murnau
25,tt0031885,2012-09-22,2012-09-22,(=22),La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24793,1939-07-08,Jean Renoir
26,tt0052311,2012-09-22,2012-09-22,,Touch of Evil,https://www.imdb.com/title/tt0052311/,movie,8.0,95,1958,"Crime, Drama, Film-Noir, Thriller",93988,1958-03-30,Orson Welles
27,tt0048424,2012-09-22,2012-09-22,(=26),The Night of the Hunter,https://www.imdb.com/title/tt0048424/,movie,8.0,92,1955,"Crime, Drama, Film-Noir, Thriller",76757,1955-07-26,Charles Laughton
28,tt0058946,2012-09-22,2012-09-22,(=26),La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,movie,8.1,121,1966,"Drama, War",48404,1966-08-31,Gillo Pontecorvo
