Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0052357,2016-03-12,2016-03-12,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",330982,1958-05-09,Alfred Hitchcock
2,tt0033467,2016-03-12,2016-03-12,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372090,1941-05-01,Orson Welles
3,tt0046438,2016-03-12,2016-03-12,,Tôkyô monogatari,https://www.imdb.com/title/tt0046438/,movie,8.2,136,1953,Drama,45722,1953-11-03,Yasujirô Ozu
4,tt0031885,2016-03-12,2016-03-12,,La règle du jeu,https://www.imdb.com/title/tt0031885/,movie,8.1,110,1939,"Comedy, Drama",24793,1939-07-08,Jean Renoir
5,tt0018455,2016-03-12,2016-03-12,,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",44330,1927-09-23,F.W. Murnau
6,tt0062622,2016-03-12,2016-03-12,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",558436,1968-04-02,Stanley Kubrick
7,tt0049730,2016-03-12,2016-03-12,,The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.9,119,1956,"Adventure, Drama, Western",74722,1956-05-16,John Ford
8,tt0019760,2016-03-12,2016-03-12,,Chelovek s kino-apparatom,https://www.imdb.com/title/tt0019760/,movie,8.4,68,1929,"Documentary, Music",20384,1929-01-08,Dziga Vertov
9,tt0019254,2016-03-12,2016-03-12,,La passion de Jeanne d'Arc,https://www.imdb.com/title/tt0019254/,movie,8.2,110,1928,"Biography, Drama, History",42224,1928-04-21,Carl Theodor Dreyer
10,tt0056801,2016-03-12,2016-03-12,,8½,https://www.imdb.com/title/tt0056801/,movie,8.0,138,1963,Drama,101224,1963-02-13,Federico Fellini
11,tt0015648,2016-03-12,2016-03-12,,Bronenosets Potemkin,https://www.imdb.com/title/tt0015648/,movie,8.0,75,1925,"Drama, History, Thriller",49238,1925-12-24,Sergei M. Eisenstein
12,tt0024844,2016-03-12,2016-03-12,,L'Atalante,https://www.imdb.com/title/tt0024844/,movie,7.8,89,1934,"Comedy, Drama, Romance",13328,1934-04-24,Jean Vigo
13,tt0053472,2016-03-12,2016-03-12,,À bout de souffle,https://www.imdb.com/title/tt0053472/,movie,7.9,90,1960,"Crime, Drama",66449,1960-03-16,Jean-Luc Godard
14,tt0078788,2016-03-12,2016-03-12,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",563499,1979-05-19,Francis Ford Coppola
15,tt0041154,2016-03-12,2016-03-12,,Banshun,https://www.imdb.com/title/tt0041154/,movie,8.3,108,1949,Drama,12580,1949-09-13,Yasujirô Ozu
16,tt0060138,2016-03-12,2016-03-12,,Au hasard Balthazar,https://www.imdb.com/title/tt0060138/,movie,7.9,95,1966,Drama,15816,1966-05-15,Robert Bresson
17,tt0047478,2016-03-12,2016-03-12,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",292346,1954-04-26,Akira Kurosawa
18,tt0060827,2016-03-12,2016-03-12,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90412,1966-10-18,Ingmar Bergman
19,tt0072443,2016-03-12,2016-03-12,,Zerkalo,https://www.imdb.com/title/tt0072443/,movie,8.1,107,1975,"Biography, Drama",34168,1975-03-07,Andrei Tarkovsky
20,tt0045152,2016-03-12,2016-03-12,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",202772,1952-03-27,"Gene Kelly, Stanley Donen"
21,tt0053619,2016-03-12,2016-03-12,,L'avventura,https://www.imdb.com/title/tt0053619/,movie,7.9,144,1960,"Drama, Mystery",23685,1960-05-15,Michelangelo Antonioni
22,tt0068646,2016-03-12,2016-03-12,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1482821,1972-03-14,Francis Ford Coppola
23,tt0057345,2016-03-12,2016-03-12,,Le mépris,https://www.imdb.com/title/tt0057345/,movie,7.6,103,1963,"Drama, Romance",25571,1963-10-29,Jean-Luc Godard
24,tt0042876,2016-03-12,2016-03-12,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",139640,1950-08-26,Akira Kurosawa
25,tt0048452,2016-03-12,2016-03-12,,Ordet,https://www.imdb.com/title/tt0048452/,movie,8.3,126,1955,"Drama, Fantasy",12602,1955-01-10,Carl Theodor Dreyer
26,tt0118694,2016-03-12,2016-03-12,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",109806,2000-05-20,Kar-Wai Wong
27,tt0060107,2016-03-12,2016-03-12,,Andrey Rublev,https://www.imdb.com/title/tt0060107/,movie,8.2,205,1966,"Biography, Drama, History",40771,1966-12-31,Andrei Tarkovsky
28,tt0166924,2016-03-12,2016-03-12,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",297288,2001-05-16,David Lynch
29,tt0079944,2016-03-12,2016-03-12,,Stalker,https://www.imdb.com/title/tt0079944/,movie,8.2,162,1979,"Drama, Sci-Fi",102145,1979-05-31,Andrei Tarkovsky
30,tt0090015,2016-03-12,2016-03-12,,Shoah,https://www.imdb.com/title/tt0090015/,movie,8.6,566,1985,"Documentary, History, War",7764,1985-04-30,Claude Lanzmann
31,tt0075314,2016-03-12,2016-03-12,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",661611,1976-02-08,Martin Scorsese
32,tt0071562,2016-03-12,2016-03-12,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1032528,1974-12-12,Francis Ford Coppola
33,tt0040522,2016-03-12,2016-03-12,,Ladri di biciclette,https://www.imdb.com/title/tt0040522/,movie,8.3,89,1948,Drama,132323,1948-11-24,Vittorio De Sica
34,tt0054215,2016-03-12,2016-03-12,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",555496,1960-06-16,Alfred Hitchcock
35,tt0017925,2016-03-12,2016-03-12,,The General,https://www.imdb.com/title/tt0017925/,movie,8.1,67,1926,"Action, Adventure, Comedy, Drama, War, Western",73784,1926-12-31,"Buster Keaton, Clyde Bruckman"
36,tt0111341,2016-03-12,2016-03-12,,Sátántangó,https://www.imdb.com/title/tt0111341/,movie,8.5,450,1994,Drama,8048,1994-02-08,Béla Tarr
37,tt0017136,2016-03-12,2016-03-12,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",148464,1927-01-10,Fritz Lang
38,tt0073198,2016-03-12,2016-03-12,,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/,movie,7.8,202,1975,Drama,6054,1975-05-14,Chantal Akerman
39,tt0053779,2016-03-12,2016-03-12,,La dolce vita,https://www.imdb.com/title/tt0053779/,movie,8.0,174,1960,"Comedy, Drama",60347,1960-02-03,Federico Fellini
40,tt0053198,2016-03-12,2016-03-12,,Les quatre cents coups,https://www.imdb.com/title/tt0053198/,movie,8.1,99,1959,"Crime, Drama",94958,1959-05-04,François Truffaut
41,tt0048473,2016-03-12,2016-03-12,,Pather Panchali,https://www.imdb.com/title/tt0048473/,movie,8.6,125,1955,Drama,19980,1955-08-26,Satyajit Ray
42,tt0046511,2016-03-12,2016-03-12,,Viaggio in Italia,https://www.imdb.com/title/tt0046511/,movie,7.4,85,1954,"Drama, Romance",7847,1954-09-07,Roberto Rossellini
43,tt0059592,2016-03-12,2016-03-12,,Pierrot le fou,https://www.imdb.com/title/tt0059592/,movie,7.6,110,1965,"Crime, Drama, Romance",25935,1965-08-29,Jean-Luc Godard
44,tt0100234,2016-03-12,2016-03-12,,Nema-ye Nazdik,https://www.imdb.com/title/tt0100234/,movie,8.3,98,1990,"Biography, Crime, Drama",13180,1990-02-01,Abbas Kiarostami
45,tt0053291,2016-03-12,2016-03-12,,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Music, Romance",226636,1959-03-19,Billy Wilder
46,tt0062136,2016-03-12,2016-03-12,,Playtime,https://www.imdb.com/title/tt0062136/,movie,7.9,115,1967,Comedy,17261,1967-12-16,Jacques Tati
