Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0015881,2014-05-20,2014-05-20,,Greed,https://www.imdb.com/title/tt0015881/,movie,8.1,140,1924,"Drama, Thriller, Western",8454,1924-12-04,Erich von Stroheim
2,tt0018192,2014-05-20,2014-05-20,,Napoléon vu par Abel Gance,https://www.imdb.com/title/tt0018192/,movie,8.1,240,1927,"Biography, Drama, History, War",6395,1927-04-07,Abel Gance
3,tt0015624,2014-05-20,2014-05-20,,The Big Parade,https://www.imdb.com/title/tt0015624/,movie,7.9,151,1925,"Drama, Romance, War",5847,1925-11-05,"King Vidor, George W. Hill"
4,tt0009968,2014-05-20,2014-05-20,,Broken Blossoms or The Yellow Man and the Girl,https://www.imdb.com/title/tt0009968/,movie,7.4,90,1919,"Drama, Romance",8796,1919-05-13,D.W. Griffith
5,tt0016641,2014-05-20,2014-05-20,,Ben-Hur: A Tale of the Christ,https://www.imdb.com/title/tt0016641/,movie,7.8,143,1925,"Adventure, Drama, Romance",6903,1925-12-25,"Charles Brabin, Christy Cabanne, Rex Ingram, Fred Niblo, J.J. Cohn"
6,tt0015400,2014-05-20,2014-05-20,,The Thief of Bagdad,https://www.imdb.com/title/tt0015400/,movie,7.8,155,1924,"Adventure, Family, Fantasy, Romance",5142,1924-03-18,Raoul Walsh
7,tt0016884,2014-05-20,2014-05-20,,Flesh and the Devil,https://www.imdb.com/title/tt0016884/,movie,7.7,112,1926,"Drama, Romance",3759,1926-12-25,Clarence Brown
8,tt0018578,2014-05-20,2014-05-20,,Wings,https://www.imdb.com/title/tt0018578/,movie,7.5,144,1927,"Drama, Romance, War, Action",10442,1927-05-19,"Harry d'Abbadie d'Arrast, William A. Wellman"
9,tt0011841,2014-05-20,2014-05-20,,Way Down East,https://www.imdb.com/title/tt0011841/,movie,7.5,145,1920,"Drama, Romance",4742,1920-09-03,D.W. Griffith
10,tt0020475,2014-05-20,2014-05-20,,Tagebuch einer Verlorenen,https://www.imdb.com/title/tt0020475/,movie,7.9,104,1929,Drama,3803,1929-09-27,Georg Wilhelm Pabst
11,tt0018528,2014-05-20,2014-05-20,,The Unknown,https://www.imdb.com/title/tt0018528/,movie,7.8,63,1927,"Drama, Horror, Romance, Thriller",6664,1927-06-03,Tod Browning
12,tt0019379,2014-05-20,2014-05-20,,Show People,https://www.imdb.com/title/tt0019379/,movie,7.6,83,1928,"Comedy, Romance",3351,1928-10-20,King Vidor
13,tt0013086,2014-05-20,2014-05-20,,"Dr. Mabuse, der Spieler",https://www.imdb.com/title/tt0013086/,movie,7.9,242,1922,"Crime, Mystery, Thriller",6848,1922-04-27,Fritz Lang
14,tt0012190,2014-05-20,2014-05-20,,The Four Horsemen of the Apocalypse,https://www.imdb.com/title/tt0012190/,movie,7.2,150,1921,"Drama, Romance, War",2942,1921-03-06,Rex Ingram
