Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0087837,2014-07-27,2014-07-27,,Old Enough,https://www.imdb.com/title/tt0087837/,movie,6.5,92,1984,Drama,523,1984-04-30,Marisa Silver
2,tt0090037,2014-07-27,2014-07-27,,Smooth Talk,https://www.imdb.com/title/tt0090037/,movie,6.2,92,1985,"Drama, Romance, Thriller",1588,1985-09-10,Joyce Chopra
3,tt1082133,2014-07-27,2014-07-27,Jill Godmilow (1987),Warten auf den Mond,https://www.imdb.com/title/tt1082133/,movie,7.7,78,2007,"Drama, Mystery, Romance",10,2007-04-25,Jürgen Karasek
4,tt0094187,2014-07-27,2014-07-27,,The Trouble with Dick,https://www.imdb.com/title/tt0094187/,movie,5.5,86,1986,"Comedy, Sci-Fi",80,1986-10-31,Gary Walkow
5,tt0093165,2014-07-27,2014-07-27,,Heat and Sunlight,https://www.imdb.com/title/tt0093165/,movie,5.2,98,1987,Drama,124,1987-09-17,Rob Nilsson
6,tt0098528,2014-07-27,2014-07-27,,True Love,https://www.imdb.com/title/tt0098528/,movie,6.0,104,1989,"Comedy, Romance",658,1989-01-31,Nancy Savoca
7,tt0101561,2014-07-27,2014-07-27,,Chameleon Street,https://www.imdb.com/title/tt0101561/,movie,7.0,94,1989,"Comedy, Drama",435,1989-09-13,Wendell B. Harris Jr.
8,tt0102687,2014-07-27,2014-07-27,,Poison,https://www.imdb.com/title/tt0102687/,movie,6.5,85,1991,"Drama, Horror, Romance, Sci-Fi",3591,1991-01-31,Todd Haynes
9,tt0104503,2014-07-27,2014-07-27,,In the Soup,https://www.imdb.com/title/tt0104503/,movie,7.1,93,1992,"Comedy, Drama",2524,1992-01-31,Alexandre Rockwell
10,tt0108000,2014-07-27,2014-07-27,,Ruby in Paradise,https://www.imdb.com/title/tt0108000/,movie,7.0,114,1993,"Drama, Romance",2266,1993-01-31,Victor Nunez
11,tt0107895,2014-07-27,2014-07-27,,Public Access,https://www.imdb.com/title/tt0107895/,movie,5.2,90,1993,"Drama, Thriller",805,1993-01-31,Bryan Singer
12,tt0111689,2014-07-27,2014-07-27,,What Happened Was...,https://www.imdb.com/title/tt0111689/,movie,7.2,91,1994,"Comedy, Drama, Romance, Thriller",1108,1994-01-26,Tom Noonan
13,tt0112585,2014-07-27,2014-07-27,,The Brothers McMullen,https://www.imdb.com/title/tt0112585/,movie,6.6,98,1995,"Comedy, Drama, Romance",7064,1995-01-21,Edward Burns
14,tt0114906,2014-07-27,2014-07-27,,Welcome to the Dollhouse,https://www.imdb.com/title/tt0114906/,movie,7.4,88,1995,"Comedy, Drama",30404,1995-09-10,Todd Solondz
15,tt0120244,2014-07-27,2014-07-27,,Sunday,https://www.imdb.com/title/tt0120244/,movie,6.8,91,1997,"Drama, Romance",610,1997-01-31,Jonathan Nossiter
16,tt0139615,2014-07-27,2014-07-27,,Slam,https://www.imdb.com/title/tt0139615/,movie,7.1,100,1998,Drama,2165,1998-01-20,Marc Levin
17,tt0138874,2014-07-27,2014-07-27,,Three Seasons,https://www.imdb.com/title/tt0138874/,movie,7.2,113,1999,Drama,2960,1999-01-23,Tony Bui
18,tt0210075,2014-07-27,2014-07-27,,Girlfight,https://www.imdb.com/title/tt0210075/,movie,6.7,110,2000,"Drama, Sport",9070,2000-01-22,Karyn Kusama
19,tt0247199,2014-07-27,2014-07-27,,The Believer,https://www.imdb.com/title/tt0247199/,movie,7.2,98,2001,Drama,35246,2001-01-19,Henry Bean
20,tt0295238,2014-07-27,2014-07-27,,Personal Velocity: Three Portraits,https://www.imdb.com/title/tt0295238/,movie,6.5,86,2002,"Drama, Romance",3383,2002-01-12,Rebecca Miller
21,tt0305206,2014-07-27,2014-07-27,,American Splendor,https://www.imdb.com/title/tt0305206/,movie,7.4,101,2003,"Biography, Comedy, Drama",46071,2003-01-20,"Shari Springer Berman, Robert Pulcini"
22,tt0390384,2014-07-27,2014-07-27,,Primer,https://www.imdb.com/title/tt0390384/,movie,6.9,77,2004,"Drama, Sci-Fi, Thriller",91747,2004-01-16,Shane Carruth
23,tt0395543,2014-07-27,2014-07-27,,Forty Shades of Blue,https://www.imdb.com/title/tt0395543/,movie,6.2,108,2005,"Drama, Music, Romance",1385,2005-01-21,Ira Sachs
24,tt0451176,2014-07-27,2014-07-27,,Quinceañera,https://www.imdb.com/title/tt0451176/,movie,7.0,90,2006,Drama,3935,2006-01-31,"Richard Glatzer, Wash Westmoreland"
25,tt0834938,2014-07-27,2014-07-27,,Padre Nuestro,https://www.imdb.com/title/tt0834938/,movie,6.9,110,2007,"Drama, Thriller",1042,2007-01-20,Christopher Zalla
26,tt0978759,2014-07-27,2014-07-27,,Frozen River,https://www.imdb.com/title/tt0978759/,movie,7.1,97,2008,"Crime, Drama",23895,2008-01-18,Courtney Hunt
27,tt1758692,2014-07-27,2014-07-27,,Like Crazy,https://www.imdb.com/title/tt1758692/,movie,6.7,86,2011,"Drama, Romance",56633,2011-01-22,Drake Doremus
28,tt5577494,2019-04-23,2019-04-23,,Clemency,https://www.imdb.com/title/tt5577494/,movie,5.9,113,2019,Drama,275,2019-01-27,Chinonye Chukwu
