Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0048473,2014-05-23,2014-05-23,,Pather Panchali,https://www.imdb.com/title/tt0048473/,movie,8.6,125,1955,Drama,20033,1955-08-26,Satyajit Ray
2,tt0048956,2014-05-23,2014-05-23,,Aparajito,https://www.imdb.com/title/tt0048956/,movie,8.3,110,1956,Drama,9984,1956-10-11,Satyajit Ray
3,tt0052572,2014-05-23,2014-05-23,,Apur Sansar,https://www.imdb.com/title/tt0052572/,movie,8.5,105,1959,Drama,10257,1959-05-01,Satyajit Ray
4,tt0023775,2014-05-23,2014-05-23,,Baby Face,https://www.imdb.com/title/tt0023775/,movie,7.6,71,1933,"Drama, Romance",5744,1933-07-13,Alfred E. Green
5,tt0080196,2014-05-23,2014-05-23,,Berlin Alexanderplatz,https://www.imdb.com/title/tt0080196/,tvMiniSeries,8.6,931,1980,"Crime, Drama",3673,1980-08-28,
6,tt0028683,2014-05-23,2014-05-23,,Camille,https://www.imdb.com/title/tt0028683/,movie,7.4,109,1936,"Drama, Romance",6840,1936-12-12,George Cukor
7,tt0109424,2014-05-23,2014-05-23,,Chung Hing sam lam,https://www.imdb.com/title/tt0109424/,movie,8.1,102,1994,"Comedy, Crime, Drama, Mystery, Romance",55173,1994-07-14,Kar-Wai Wong
8,tt0027478,2014-05-23,2014-05-23,,Le crime de Monsieur Lange,https://www.imdb.com/title/tt0027478/,movie,7.4,80,1936,"Comedy, Crime, Drama",2730,1936-01-24,Jean Renoir
9,tt0092337,2014-05-23,2014-05-23,,Dekalog,https://www.imdb.com/title/tt0092337/,tvMiniSeries,9.0,572,1989,Drama,19362,1989-05-16,
10,tt0106332,2014-05-23,2014-05-23,,Ba wang bie ji,https://www.imdb.com/title/tt0106332/,movie,8.1,171,1993,"Drama, Music, Romance",22875,1993-01-01,Kaige Chen
11,tt0042593,2014-05-23,2014-05-23,,In a Lonely Place,https://www.imdb.com/title/tt0042593/,movie,8.0,94,1950,"Drama, Film-Noir, Mystery, Romance, Thriller",23238,1950-05-17,Nicholas Ray
12,tt0025318,2014-05-23,2014-05-23,,It's a Gift,https://www.imdb.com/title/tt0025318/,movie,7.2,68,1934,Comedy,4609,1934-11-30,Norman Z. McLeod
13,tt0283431,2014-05-23,2014-05-23,,Safar e Ghandehar,https://www.imdb.com/title/tt0283431/,movie,6.8,85,2001,"Biography, Drama, War",6246,2001-05-11,Mohsen Makhmalbaf
14,tt0019071,2014-05-23,2014-05-23,,The Last Command,https://www.imdb.com/title/tt0019071/,movie,8.0,88,1928,"Drama, History, Romance, War",3048,1928-01-21,Josef von Sternberg
15,tt0104782,2014-05-23,2014-05-23,,Léolo,https://www.imdb.com/title/tt0104782/,movie,7.5,107,1992,"Comedy, Drama",6435,1992-09-16,Jean-Claude Lauzon
16,tt0081176,2014-05-23,2014-05-23,,Mon oncle d'Amérique,https://www.imdb.com/title/tt0081176/,movie,7.8,125,1980,"Comedy, Drama, Romance",4224,1980-05-20,Alain Resnais
17,tt0061996,2014-05-23,2014-05-23,,Mouchette,https://www.imdb.com/title/tt0061996/,movie,7.9,81,1967,Drama,9172,1967-03-14,Robert Bresson
18,tt0093603,2014-05-23,2014-05-23,,Nayakan,https://www.imdb.com/title/tt0093603/,movie,8.7,145,1987,"Crime, Drama",13818,1987-07-30,Mani Ratnam
19,tt0031725,2014-05-23,2014-05-23,,Ninotchka,https://www.imdb.com/title/tt0031725/,movie,7.9,110,1939,"Comedy, Romance",17645,1939-11-09,Ernst Lubitsch
20,tt0030522,2014-05-23,2014-05-23,,Olympia 1. Teil - Fest der Völker,https://www.imdb.com/title/tt0030522/,movie,7.8,121,1938,"Documentary, Sport",4043,1938-04-20,Leni Riefenstahl
21,tt0030523,2014-05-23,2014-05-23,,Olympia 2. Teil - Fest der Schönheit,https://www.imdb.com/title/tt0030523/,movie,7.7,96,1938,"Documentary, Sport",3377,1938-04-20,Leni Riefenstahl
22,tt0060827,2014-05-23,2014-05-23,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90697,1966-10-18,Ingmar Bergman
23,tt0050870,2014-05-23,2014-05-23,,Pyaasa,https://www.imdb.com/title/tt0050870/,movie,8.5,146,1957,"Drama, Musical, Romance",4793,1957-02-19,Guru Dutt
24,tt0090521,2014-05-23,2014-05-23,,The Singing Detective,https://www.imdb.com/title/tt0090521/,tvMiniSeries,8.6,415,1986,"Drama, Musical, Mystery, Thriller",3951,1986-11-16,
25,tt0048641,2014-05-23,2014-05-23,,Sommarnattens leende,https://www.imdb.com/title/tt0048641/,movie,7.8,109,1955,"Comedy, Romance",11372,1955-12-26,Ingmar Bergman
26,tt0064451,2014-05-23,2014-05-23,,Xia nü,https://www.imdb.com/title/tt0064451/,movie,7.6,200,1971,"Action, Adventure, Drama, Thriller",4718,1971-11-18,King Hu
27,tt0114863,2014-05-23,2014-05-23,,To vlemma tou Odyssea,https://www.imdb.com/title/tt0114863/,movie,7.6,176,1995,"Drama, War",5731,1995-05-24,Theodoros Angelopoulos
28,tt0045274,2014-05-23,2014-05-23,,Umberto D.,https://www.imdb.com/title/tt0045274/,movie,8.2,89,1952,Drama,20784,1952-01-10,Vittorio De Sica
