Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0095037,2014-05-20,2014-05-20,,"Distant Voices, Still Lives",https://www.imdb.com/title/tt0095037/,movie,7.5,84,1988,"Drama, Music",3286,1988-05-13,Terence Davies
2,tt0064541,2014-05-20,2014-05-20,,Kes,https://www.imdb.com/title/tt0064541/,movie,7.9,111,1969,"Drama, Family",17071,1969-11-19,Ken Loach
3,tt0038733,2014-05-20,2014-05-20,,A Matter of Life and Death,https://www.imdb.com/title/tt0038733/,movie,8.1,104,1946,"Comedy, Drama, Fantasy, Romance, War",17746,1946-03-14,"Michael Powell, Emeric Pressburger"
4,tt0037558,2014-05-20,2014-05-20,,Brief Encounter,https://www.imdb.com/title/tt0037558/,movie,8.0,86,1945,"Drama, Romance",32667,1945-11-19,David Lean
5,tt0036112,2014-05-20,2014-05-20,,The Life and Death of Colonel Blimp,https://www.imdb.com/title/tt0036112/,movie,8.1,163,1943,"Drama, Romance, War",12093,1943-06-10,"Michael Powell, Emeric Pressburger"
6,tt0036695,2014-05-20,2014-05-20,,A Canterbury Tale,https://www.imdb.com/title/tt0036695/,movie,7.5,124,1944,"Comedy, Drama, Mystery, War",4624,1944-05-11,"Michael Powell, Emeric Pressburger"
7,tt0119792,2014-05-20,2014-05-20,,Nil by Mouth,https://www.imdb.com/title/tt0119792/,movie,7.3,128,1997,Drama,8092,1997-05-08,Gary Oldman
8,tt0068983,2014-05-20,2014-05-20,,My Childhood,https://www.imdb.com/title/tt0068983/,movie,7.4,46,1972,"Biography, Drama",1003,1972-08-27,Bill Douglas
9,tt0070424,2014-05-20,2014-05-20,,My Ain Folk,https://www.imdb.com/title/tt0070424/,movie,7.5,55,1973,"Biography, Drama",721,1973-12-31,Bill Douglas
10,tt0077964,2014-05-20,2014-05-20,,My Way Home,https://www.imdb.com/title/tt0077964/,movie,7.5,71,1978,"Biography, Drama",610,1978-09-19,Bill Douglas
11,tt0117589,2014-05-20,2014-05-20,,Secrets & Lies,https://www.imdb.com/title/tt0117589/,movie,8.0,136,1996,Drama,34496,1996-05-10,Mike Leigh
12,tt0057490,2014-05-20,2014-05-20,,The Servant,https://www.imdb.com/title/tt0057490/,movie,7.9,116,1963,Drama,8336,1963-09-03,Joseph Losey
13,tt0056194,2014-05-20,2014-05-20,,The Loneliness of the Long Distance Runner,https://www.imdb.com/title/tt0056194/,movie,7.6,104,1962,"Drama, Sport",7201,1962-09-27,Tony Richardson
14,tt0040481,2014-05-20,2014-05-20,,It Always Rains on Sunday,https://www.imdb.com/title/tt0040481/,movie,7.2,92,1947,"Crime, Drama",1297,1947-11-28,Robert Hamer
15,tt0035429,2014-05-20,2014-05-20,,Went the Day Well?,https://www.imdb.com/title/tt0035429/,movie,7.5,92,1942,"Thriller, War",2884,1942-11-01,Alberto Cavalcanti
16,tt0110377,2014-05-20,2014-05-20,,London,https://www.imdb.com/title/tt0110377/,movie,7.4,85,1994,Documentary,482,1994-02-19,Patrick Keiller
17,tt0171685,2014-05-20,2014-05-20,,Ratcatcher,https://www.imdb.com/title/tt0171685/,movie,7.5,94,1999,Drama,8042,1999-05-13,Lynne Ramsay
18,tt0034978,2014-05-20,2014-05-20,,Listen to Britain,https://www.imdb.com/title/tt0034978/,short,6.6,20,1942,"Documentary, Short",1431,1942-02-28,"Humphrey Jennings, Stewart McAllister"
19,tt0040338,2014-05-20,2014-05-20,,The Fallen Idol,https://www.imdb.com/title/tt0040338/,movie,7.7,95,1948,"Drama, Mystery, Thriller",7202,1948-08-31,Carol Reed
20,tt0986233,2014-05-20,2014-05-20,,Hunger,https://www.imdb.com/title/tt0986233/,movie,7.6,96,2008,"Biography, Drama",62384,2008-05-15,Steve McQueen
21,tt0116387,2014-05-20,2014-05-20,,Gallivant,https://www.imdb.com/title/tt0116387/,movie,7.1,100,1996,Documentary,188,1996-12-31,Andrew Kotting
22,tt0057982,2014-05-20,2014-05-20,,Culloden,https://www.imdb.com/title/tt0057982/,tvMovie,7.8,69,1964,"Drama, History, War",1309,1964-12-15,Peter Watkins
23,tt0085859,2014-05-20,2014-05-20,,Local Hero,https://www.imdb.com/title/tt0085859/,movie,7.3,111,1983,"Comedy, Drama",19384,1983-02-17,Bill Forsyth
24,tt0120028,2014-05-20,2014-05-20,,Robinson in Space,https://www.imdb.com/title/tt0120028/,movie,7.2,82,1997,Documentary,276,1997-01-10,Patrick Keiller
25,tt0057578,2014-05-20,2014-05-20,,This Sporting Life,https://www.imdb.com/title/tt0057578/,movie,7.7,134,1963,"Drama, Sport",5447,1963-02-07,Lindsay Anderson
26,tt0079773,2014-05-20,2014-05-20,,Radio On,https://www.imdb.com/title/tt0079773/,movie,6.6,104,1979,"Drama, Music, Mystery",655,1979-12-31,Christopher Petit
27,tt0090798,2014-05-20,2014-05-20,,Caravaggio,https://www.imdb.com/title/tt0090798/,movie,6.6,93,1986,"Biography, Drama, History, Romance",4819,1986-02-28,Derek Jarman
28,tt0082477,2014-05-20,2014-05-20,,Gregory's Girl,https://www.imdb.com/title/tt0082477/,movie,7.1,91,1980,"Comedy, Drama, Romance",7022,1980-11-29,Bill Forsyth
29,tt0066122,2014-05-20,2014-05-20,,Deep End,https://www.imdb.com/title/tt0066122/,movie,7.2,92,1970,"Comedy, Drama, Romance",4808,1970-09-01,Jerzy Skolimowski
30,tt0074988,2014-05-20,2014-05-20,,Play for Today: Nuts in May,https://www.imdb.com/title/tt0074988/,tvEpisode,8.0,84,1976,"Comedy, Drama",1590,1976-01-13,Mike Leigh
31,tt0151568,2014-05-20,2014-05-20,,Topsy-Turvy,https://www.imdb.com/title/tt0151568/,movie,7.3,154,1999,"Biography, Comedy, Drama, History, Music, Musical",11217,1999-09-03,Mike Leigh
32,tt0171865,2014-05-20,2014-05-20,,Wonderland,https://www.imdb.com/title/tt0171865/,movie,7.1,108,1999,Drama,3826,1999-05-14,Michael Winterbottom
33,tt0042040,2014-05-20,2014-05-20,,Whisky Galore!,https://www.imdb.com/title/tt0042040/,movie,7.2,80,1949,"Comedy, Crime",4596,1949-06-16,Alexander Mackendrick
34,tt0063385,2014-05-20,2014-05-20,,Oliver!,https://www.imdb.com/title/tt0063385/,movie,7.4,153,1968,"Drama, Family, Musical",32103,1968-09-26,Carol Reed
35,tt0074462,2014-05-20,2014-05-20,,Edvard Munch,https://www.imdb.com/title/tt0074462/,tvMovie,8.3,210,1974,"Biography, Drama, History, Mystery, Romance",2715,1974-11-12,Peter Watkins
36,tt0104753,2014-05-20,2014-05-20,,The Long Day Closes,https://www.imdb.com/title/tt0104753/,movie,7.4,85,1992,"Biography, Drama",2497,1992-05-13,Terence Davies
37,tt0044876,2014-05-20,2014-05-20,,The Man in the White Suit,https://www.imdb.com/title/tt0044876/,movie,7.3,85,1951,"Comedy, Drama, Sci-Fi",8209,1951-08-10,Alexander Mackendrick
38,tt0202559,2014-05-20,2014-05-20,,A Room for Romeo Brass,https://www.imdb.com/title/tt0202559/,movie,7.6,90,1999,"Comedy, Drama",5185,1999-08-23,Shane Meadows
39,tt0325965,2014-05-20,2014-05-20,,Play for Today: Penda's Fen,https://www.imdb.com/title/tt0325965/,tvEpisode,7.3,90,1974,"Comedy, Drama",350,1974-03-21,Alan Clarke
40,tt0020269,2014-05-20,2014-05-20,,Piccadilly,https://www.imdb.com/title/tt0020269/,movie,7.2,92,1929,"Drama, Crime",1251,1929-02-28,Ewald André Dupont
41,tt0056868,2014-05-20,2014-05-20,,Billy Liar,https://www.imdb.com/title/tt0056868/,movie,7.4,98,1963,"Comedy, Drama, Romance",5292,1963-08-15,John Schlesinger
42,tt0070468,2014-05-20,2014-05-20,,The Offence,https://www.imdb.com/title/tt0070468/,movie,7.0,112,1973,"Crime, Drama, Thriller",5098,1973-01-11,Sidney Lumet
43,tt0124185,2014-05-20,2014-05-20,,Under the Skin,https://www.imdb.com/title/tt0124185/,movie,6.5,82,1997,Drama,1292,1997-08-29,Carine Adler
44,tt0055928,2014-05-20,2014-05-20,,Dr. No,https://www.imdb.com/title/tt0055928/,movie,7.3,110,1962,"Action, Adventure, Thriller",137202,1962-10-05,Terence Young
45,tt0107756,2014-05-20,2014-05-20,,Orlando,https://www.imdb.com/title/tt0107756/,movie,7.2,94,1992,"Biography, Drama, Fantasy, Romance",12652,1992-09-01,Sally Potter
46,tt0020793,2014-05-20,2014-05-20,,A Cottage on Dartmoor,https://www.imdb.com/title/tt0020793/,movie,7.6,88,1929,"Crime, Drama",951,1929-10-31,Anthony Asquith
47,tt0052911,2014-05-20,2014-05-20,,I'm All Right Jack,https://www.imdb.com/title/tt0052911/,movie,7.2,105,1959,Comedy,3297,1959-08-13,John Boulting
48,tt0067144,2014-05-20,2014-05-20,,The Go-Between,https://www.imdb.com/title/tt0067144/,movie,7.3,116,1971,"Drama, Romance",4441,1971-05-25,Joseph Losey
49,tt0106438,2014-05-20,2014-05-20,,Blue,https://www.imdb.com/title/tt0106438/,movie,7.3,79,1993,"Biography, Drama",1800,1993-10-03,Derek Jarman
50,tt0114671,2014-05-20,2014-05-20,,Land and Freedom,https://www.imdb.com/title/tt0114671/,movie,7.6,109,1995,"Drama, War",9622,1995-04-07,Ken Loach
51,tt0274309,2014-05-20,2014-05-20,,24 Hour Party People,https://www.imdb.com/title/tt0274309/,movie,7.3,117,2002,"Biography, Comedy, Drama, Music",31114,2002-02-13,Michael Winterbottom
52,tt0490166,2014-05-20,2014-05-20,,London to Brighton,https://www.imdb.com/title/tt0490166/,movie,6.9,85,2006,"Crime, Drama, Thriller",7964,2006-08-18,Paul Andrew Williams
53,tt0054279,2014-05-20,2014-05-20,,School for Scoundrels,https://www.imdb.com/title/tt0054279/,movie,7.4,94,1960,Comedy,2931,1960-03-24,"Cyril Frankel, Robert Hamer, Hal E. Chester"
54,tt0066279,2014-05-20,2014-05-20,,The Railway Children,https://www.imdb.com/title/tt0066279/,movie,7.3,109,1970,"Family, Drama",3642,1970-12-21,Lionel Jeffries
55,tt0310154,2014-05-20,2014-05-20,,In This World,https://www.imdb.com/title/tt0310154/,movie,7.3,88,2002,Drama,3979,2002-11-17,Michael Winterbottom
