Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0034583,2011-05-25,2012-05-02,?????????,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",488700,1942-11-26,Michael Curtiz
2,tt0068646,2011-05-25,2012-05-02,???????,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1485901,1972-03-14,Francis Ford Coppola
3,tt0071315,2011-05-25,2012-05-02,????????,Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",273238,1974-06-20,Roman Polanski
4,tt0033467,2011-05-25,2012-05-02,????????,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",372667,1941-05-01,Orson Welles
5,tt0042192,2011-05-25,2012-05-02,?????????,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,112418,1950-10-13,Joseph L. Mankiewicz
6,tt0075686,2011-05-25,2012-05-02,?????????,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",240459,1977-03-27,Woody Allen
7,tt0043014,2011-05-25,2012-05-02,?????????,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",185230,1950-08-10,Billy Wilder
8,tt0074958,2011-05-25,2012-05-02,?????????,Network,https://www.imdb.com/title/tt0074958/,movie,8.1,121,1976,Drama,135265,1976-11-14,Sidney Lumet
9,tt0053291,2011-05-25,2012-05-02,?????????,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Music, Romance",227067,1959-03-19,Billy Wilder
10,tt0071562,2011-05-25,2012-05-02,???????2,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1034833,1974-12-12,Francis Ford Coppola
11,tt0064115,2011-05-25,2012-05-02,??????????,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110,1969,"Biography, Crime, Drama, Western",191639,1969-09-23,George Roy Hill
12,tt0057012,2011-05-25,2012-05-02,?????????,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,424743,1964-01-29,Stanley Kubrick
13,tt0061722,2011-05-25,2012-05-02,????????,The Graduate,https://www.imdb.com/title/tt0061722/,movie,8.0,106,1967,"Comedy, Drama, Romance",242447,1967-12-20,Mike Nichols
14,tt0056172,2011-05-25,2012-05-02,???????????,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, History, War",249515,1962-12-10,David Lean
15,tt0053604,2011-05-25,2012-05-02,?????????,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",149375,1960-06-15,Billy Wilder
16,tt0110912,2011-05-25,2012-05-02,??????????,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1699288,1994-05-21,Quentin Tarantino
17,tt0084805,2011-05-25,2012-05-02,?????????,Tootsie,https://www.imdb.com/title/tt0084805/,movie,7.4,116,1982,"Comedy, Drama, Romance",91361,1982-12-01,Sydney Pollack
18,tt0047296,2011-05-25,2012-05-02,?????????,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.1,108,1954,"Crime, Drama, Thriller",132008,1954-06-22,Elia Kazan
19,tt0056592,2011-05-25,2012-05-02,??????????,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",278723,1962-12-20,Robert Mulligan
20,tt0038650,2011-05-25,2012-05-02,?????????,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",367783,1946-12-20,Frank Capra
21,tt0053125,2011-05-25,2012-05-02,????????,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",279297,1959-07-01,Alfred Hitchcock
22,tt0111161,2011-05-25,2012-05-02,???????1995,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2164571,1994-09-10,Frank Darabont
23,tt0031381,2011-05-25,2012-05-02,?????????,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.1,238,1939,"Drama, History, Romance, War",270171,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
24,tt0338013,2011-05-25,2012-05-02,?????????,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",846118,2004-03-09,Michel Gondry
25,tt0032138,2011-05-25,2012-05-02,?????????,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",357801,1939-08-10,"Mervyn LeRoy, George Cukor, Norman Taurog, King Vidor, Victor Fleming, Richard Thorpe"
26,tt0036775,2011-05-25,2012-05-02,?????????,Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",132304,1944-07-03,Billy Wilder
27,tt0107048,2011-05-25,2012-05-02,???????????,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",550909,1993-02-04,Harold Ramis
28,tt0138097,2011-05-25,2012-05-02,?????????,Shakespeare in Love,https://www.imdb.com/title/tt0138097/,movie,7.1,123,1998,"Comedy, Drama, History, Romance",204536,1998-12-03,John Madden
29,tt0034240,2011-05-25,2012-05-02,??????????,Sullivan's Travels,https://www.imdb.com/title/tt0034240/,movie,8.0,90,1941,"Adventure, Comedy, Drama, Romance",22321,1941-12-05,Preston Sturges
30,tt0105695,2011-05-25,2012-05-02,????????,Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",350240,1992-08-03,Clint Eastwood
31,tt0032599,2011-05-25,2012-05-02,??????????,His Girl Friday,https://www.imdb.com/title/tt0032599/,movie,7.9,92,1940,"Comedy, Drama, Romance",49675,1940-01-11,Howard Hawks
32,tt0116282,2011-05-25,2012-05-02,????????,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Drama, Thriller",575498,1996-03-08,"Ethan Coen, Joel Coen"
33,tt0041959,2011-05-25,2012-05-02,?????????,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.1,104,1949,"Film-Noir, Mystery, Thriller",148994,1949-05-31,Carol Reed
34,tt0051036,2011-05-25,2012-05-02,??????????,Sweet Smell of Success,https://www.imdb.com/title/tt0051036/,movie,8.1,96,1957,"Drama, Film-Noir",25256,1957-06-27,Alexander Mackendrick
35,tt0114814,2011-05-25,2012-05-02,??????????,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Mystery, Thriller",930311,1995-01-25,Bryan Singer
36,tt0064665,2011-05-25,2012-05-02,?????????,Midnight Cowboy,https://www.imdb.com/title/tt0064665/,movie,7.8,113,1969,"Drama, Western",93503,1969-05-25,John Schlesinger
37,tt0032904,2011-05-25,2012-05-02,?????????,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,7.9,112,1940,"Comedy, Romance",59677,1940-12-05,George Cukor
38,tt0169547,2011-05-25,2012-05-02,???????????,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.3,122,1999,Drama,1011087,1999-09-08,Sam Mendes
39,tt0070735,2011-05-25,2012-05-02,???????,The Sting,https://www.imdb.com/title/tt0070735/,movie,8.3,129,1973,"Comedy, Crime, Drama",226168,1973-12-25,George Roy Hill
40,tt0098635,2011-05-25,2012-05-02,????????????,When Harry Met Sally...,https://www.imdb.com/title/tt0098635/,movie,7.6,95,1989,"Comedy, Drama, Romance",181786,1989-07-12,Rob Reiner
41,tt0099685,2011-05-25,2012-05-02,??????????,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",937130,1990-09-09,Martin Scorsese
42,tt0082971,2011-05-25,2012-05-02,?????????,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",832161,1981-06-12,Steven Spielberg
43,tt0075314,2011-05-25,2012-05-02,??????????,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",663631,1976-02-08,Martin Scorsese
44,tt0036868,2011-05-25,2012-05-02,?????????,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.0,170,1946,"Drama, Romance, War",54336,1946-11-21,William Wyler
45,tt0073486,2011-05-25,2012-05-02,??????????,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,854656,1975-11-19,Milos Forman
46,tt0040897,2011-05-25,2012-05-02,?????????,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",106321,1948-01-14,John Huston
47,tt0033870,2011-05-25,2012-05-02,??????????,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.0,100,1941,"Film-Noir, Mystery",142839,1941-10-03,John Huston
48,tt0050212,2011-05-25,2012-05-02,?????????,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.1,161,1957,"Adventure, Drama, War",190409,1957-10-02,David Lean
