Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0050083,2013-04-22,2013-04-22,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,619435,1957-04-10,Sidney Lumet
2,tt0043338,2013-04-22,2013-04-22,,Ace in the Hole,https://www.imdb.com/title/tt0043338/,movie,8.2,111,1951,"Drama, Film-Noir",26242,1951-06-14,Billy Wilder
3,tt0268126,2013-04-22,2013-04-22,,Adaptation.,https://www.imdb.com/title/tt0268126/,movie,7.7,115,2002,"Comedy, Drama",167959,2002-12-03,Spike Jonze
4,tt0029843,2013-04-22,2013-04-22,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,movie,7.9,102,1938,"Action, Adventure, Romance",44765,1938-05-12,"Michael Curtiz, William Keighley"
5,tt0098994,2013-04-22,2013-04-22,,"After Dark, My Sweet",https://www.imdb.com/title/tt0098994/,movie,6.6,114,1990,"Crime, Drama, Mystery, Thriller",3020,1990-08-24,James Foley
6,tt0088680,2013-04-22,2013-04-22,,After Hours,https://www.imdb.com/title/tt0088680/,movie,7.7,97,1985,"Comedy, Crime, Drama, Thriller",52121,1985-09-11,Martin Scorsese
7,tt0106226,2013-04-22,2013-04-22,,The Age of Innocence,https://www.imdb.com/title/tt0106226/,movie,7.2,139,1993,"Drama, Romance",45858,1993-08-31,Martin Scorsese
8,tt0068182,2013-04-22,2013-04-22,,"Aguirre, der Zorn Gottes",https://www.imdb.com/title/tt0068182/,movie,8.0,95,1972,"Action, Adventure, Biography, Drama, History",48114,1972-12-29,Werner Herzog
9,tt0212720,2013-04-22,2013-04-22,,Artificial Intelligence: AI,https://www.imdb.com/title/tt0212720/,movie,7.2,146,2001,"Drama, Sci-Fi",278876,2001-06-26,Steven Spielberg
10,tt0071141,2013-04-22,2013-04-22,,Angst essen Seele auf,https://www.imdb.com/title/tt0071141/,movie,8.1,92,1974,"Drama, Romance",17045,1974-03-05,Rainer Werner Fassbinder
11,tt0078748,2013-04-22,2013-04-22,,Alien,https://www.imdb.com/title/tt0078748/,movie,8.4,117,1979,"Horror, Sci-Fi",735107,1979-05-25,Ridley Scott
12,tt0042192,2013-04-22,2013-04-22,,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.2,138,1950,Drama,112418,1950-10-13,Joseph L. Mankiewicz
13,tt0086879,2013-04-22,2013-04-22,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",345992,1984-09-06,Milos Forman
14,tt0071129,2013-04-22,2013-04-22,,Amarcord,https://www.imdb.com/title/tt0071129/,movie,7.9,123,1973,"Comedy, Drama",36409,1973-12-18,Federico Fellini
15,tt0075686,2013-04-22,2013-04-22,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",240459,1977-03-27,Woody Allen
16,tt0053604,2013-04-22,2013-04-22,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",149375,1960-06-15,Billy Wilder
17,tt0078788,2013-04-22,2013-04-22,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.4,147,1979,"Drama, Mystery, War",564542,1979-05-19,Francis Ford Coppola
18,tt0048473,2013-05-25,2013-05-25,"The Apu Trilogy: ""Pather Panchali"" (1955), ""Aparajito"" (1956), and ""The World of Apu"" (1959).

See http://www.rogerebert.com/reviews/great-movie-the-apu-trilogy-1959.",Pather Panchali,https://www.imdb.com/title/tt0048473/,movie,8.6,125,1955,Drama,20033,1955-08-26,Satyajit Ray
19,tt0048956,2013-05-25,2013-05-25,"The Apu Trilogy: ""Pather Panchali"" (1955), ""Aparajito"" (1956), and ""The World of Apu"" (1959).

See http://www.rogerebert.com/reviews/great-movie-the-apu-trilogy-1959.",Aparajito,https://www.imdb.com/title/tt0048956/,movie,8.3,110,1956,Drama,9984,1956-10-11,Satyajit Ray
20,tt0052572,2013-05-25,2013-05-25,"The Apu Trilogy: ""Pather Panchali"" (1955), ""Aparajito"" (1956), and ""The World of Apu"" (1959).

See http://www.rogerebert.com/reviews/great-movie-the-apu-trilogy-1959.",Apur Sansar,https://www.imdb.com/title/tt0052572/,movie,8.5,105,1959,Drama,10257,1959-05-01,Satyajit Ray
