Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0068646,2017-03-13,2017-03-13,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1482752,1972-03-14,Francis Ford Coppola
2,tt0071562,2017-03-13,2017-03-13,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1032476,1974-12-12,Francis Ford Coppola
3,tt0118694,2017-03-13,2017-03-13,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",109804,2000-05-20,Kar-Wai Wong
4,tt0045152,2017-03-13,2017-03-13,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",202765,1952-03-27,"Gene Kelly, Stanley Donen"
5,tt0108394,2017-03-13,2017-03-13,,Trois couleurs: Bleu,https://www.imdb.com/title/tt0108394/,movie,7.9,98,1993,"Drama, Music, Mystery, Romance",80467,1993-09-03,Krzysztof Kieslowski
6,tt0111507,2017-03-13,2017-03-13,,Trois couleurs: Blanc,https://www.imdb.com/title/tt0111507/,movie,7.7,92,1994,"Comedy, Drama, Romance",57427,1994-01-26,Krzysztof Kieslowski
7,tt0111495,2017-03-13,2017-03-13,,Trois couleurs: Rouge,https://www.imdb.com/title/tt0111495/,movie,8.1,99,1994,"Drama, Mystery, Romance",82364,1994-05-16,Krzysztof Kieslowski
8,tt0050976,2017-03-13,2017-03-13,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",147904,1957-02-16,Ingmar Bergman
9,tt0050986,2017-03-13,2017-03-13,,Smultronstället,https://www.imdb.com/title/tt0050986/,movie,8.2,91,1957,"Drama, Romance",86718,1957-12-26,Ingmar Bergman
10,tt0060827,2017-03-13,2017-03-13,,Persona,https://www.imdb.com/title/tt0060827/,movie,8.1,85,1966,"Drama, Thriller",90406,1966-10-18,Ingmar Bergman
