Const,Title,Sum
tt0068646,The Godfather,872.5043322160755
tt0033467,Citizen Kane,694.3928269872544
tt0050083,12 Angry Men,402.6643256169118
tt0047478,Shichinin no samurai,294.638335834567
tt0034583,Casablanca,288.03916080538795
tt0046438,Tôkyô monogatari,269.19700599796954
tt0111161,The Shawshank Redemption,253.02506657044023
tt0052357,Vertigo,245.83683934128192
tt0006864,Intolerance: Love's Struggle Throughout the Ages,235.56408490169522
tt0010323,Das Cabinet des Dr. Caligari,230.98814229249012
tt0060827,Persona,221.68584104067975
tt0041959,The Third Man,220.77698997354412
tt0029843,The Adventures of Robin Hood,190.625
tt0048473,Pather Panchali,181.19218047770542
tt0071562,The Godfather: Part II,180.06972856324444
tt0017925,The General,179.81473700591349
tt0015881,Greed,170.93553363901518
tt4975722,Moonlight,167.6904176904177
tt0045152,Singin' in the Rain,160.5371836208374
tt0031885,La règle du jeu,154.14901353399455
tt0095037,"Distant Voices, Still Lives",153.9694993851199
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),153.65853658536585
tt0499549,Avatar,152.23880597014926
tt0036872,Going My Way,152.11267605633802
tt0073864,Le vieux fusil,150.0
tt0072037,Profumo di donna,150.0
tt0044192,Die Vier im Jeep,150.0
tt0032080,Union Pacific,150.0
tt0039677,Odd Man Out,150.0
tt2433448,Best Kept Secret,150.0
tt0087837,Old Enough,150.0
tt0034498,The Battle of Midway,150.0
tt6173484,"Standing Up, Falling Down",150.0
tt0062622,2001: A Space Odyssey,145.67332421099718
tt0037558,Brief Encounter,143.37719298245614
tt0022100,M - Eine Stadt sucht einen Mörder,129.56824529521532
tt0042192,All About Eve,128.76925733356737
tt0056172,Lawrence of Arabia,127.6788523927426
tt0015648,Bronenosets Potemkin,120.19887169647555
tt0078788,Apocalypse Now,117.33313619235672
tt0032138,The Wizard of Oz,110.19246219656617
tt0036868,The Best Years of Our Lives,105.64656726116559
tt0040522,Ladri di biciclette,103.39641861026728
tt0048424,The Night of the Hunter,100.31243682188827
tt0064541,Kes,100.04512916277622
tt0120338,Titanic,99.63460986804361
tt0082971,Raiders of the Lost Ark,96.81193432223805
tt0110912,Pulp Fiction,95.47852397047774
tt0071315,Chinatown,94.69420396335718
tt0056801,8½,94.14735732641209
tt0047396,Rear Window,90.94651168021599
tt0018455,Sunrise: A Song of Two Humans,90.90698434487385
tt0040338,The Fallen Idol,90.39473684210526
tt0019760,Chelovek s kino-apparatom,89.35580233626163
tt0118694,Faa yeung nin wa,87.7579185520362
tt0048956,Aparajito,82.89473684210526
tt0108052,Schindler's List,82.26648668871937
tt0043265,The African Queen,81.21525533290239
tt2024544,12 Years a Slave,80.22727272727273
tt0075686,Annie Hall,79.42164904239208
tt0015864,The Gold Rush,77.41681028261009
tt0018192,Napoléon vu par Abel Gance,76.92134831460675
tt0043278,An American in Paris,76.36548913043478
tt0120737,The Lord of the Rings: The Fellowship of the Ring,76.3570460704607
tt0014429,Safety Last!,75.56818181818181
tt0043338,Ace in the Hole,75.3896103896104
tt0090037,Smooth Talk,75.0
tt0063611,Skammen,75.0
tt0074916,Mr. Klein,75.0
tt1824932,Canción sin nombre,75.0
tt0038647,Iris och löjtnantshjärta,75.0
tt0034951,Kokoda Front Line!,75.0
tt0075793,C'eravamo tanto amati,75.0
tt0042923,...Sans laisser d'adresse,75.0
tt1441395,Under the Skin,75.0
tt0042876,Rashômon,74.8375240378283
tt0081398,Raging Bull,74.25249391677862
tt0080684,Star Wars: Episode V - The Empire Strikes Back,71.46569994422755
tt0047296,On the Waterfront,70.0930660302856
tt0024844,L'Atalante,69.64994425863992
tt0053198,Les quatre cents coups,68.64686948658442
tt0468569,The Dark Knight,67.47028862478778
tt0027977,Modern Times,66.49945336319371
tt0049730,The Searchers,65.78922751322358
tt0075314,Taxi Driver,63.8321781451787
tt0083922,Fanny och Alexander,63.78657627178872
tt0031381,Gone with the Wind,62.58407632085659
tt0038733,A Matter of Life and Death,61.130434782608695
tt0050212,The Bridge on the River Kwai,58.80414496181084
tt1024648,Argo,58.37000778396503
tt0052572,Apur Sansar,57.5
tt0053604,The Apartment,57.243213286404924
tt0167260,The Lord of the Rings: The Return of the King,55.96391482770865
tt0046268,Le salaire de la peur,54.03273197390845
tt0065234,Z,52.7992277992278
tt0053291,Some Like It Hot,52.37499942444363
tt0041113,All the King's Men,52.27272727272727
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,52.254067856041544
tt0037884,The Lost Weekend,52.142857142857146
tt0268126,Adaptation.,51.94805194805195
tt0021749,City Lights,51.42117586137162
tt2488496,Star Wars: Episode VII - The Force Awakens,50.73891625615764
tt0053472,À bout de souffle,50.432471382572814
tt0099685,Goodfellas,50.303248439964875
tt1082133,Warten auf den Mond,50.0
tt9261284,Eia jõulud Tondikakul,50.0
tt0042265,The Blue Lamp,50.0
tt0042592,Beaver Valley,50.0
tt0076085,Una giornata particolare,50.0
tt0035085,Razgrom nemetskikh voysk pod Moskvoy,50.0
tt0076574,Providence,50.0
tt0015624,The Big Parade,50.0
tt1020773,Copie conforme,50.0
tt0111495,Trois couleurs: Rouge,49.93552643009165
tt0073440,Nashville,48.941998871896914
tt0073195,Jaws,48.85695507796442
tt0050976,Det sjunde inseglet,47.89810510558557
tt0076759,Star Wars,47.840044598945525
tt0050986,Smultronstället,47.630797262206606
tt0044741,Ikiru,47.33649108731448
tt0038787,Notorious,46.58327269275231
tt0044829,The Lavender Hill Mob,46.32352941176471
tt0043014,Sunset Blvd.,45.93770816549577
tt1655442,The Artist,45.733082706766915
tt0017136,Metropolis,45.262114610518864
tt0053125,North by Northwest,44.89554605233264
tt0086879,Amadeus,44.33276013180528
tt0109830,Forrest Gump,43.95467386285064
tt0050825,Paths of Glory,43.08962574587574
tt0038650,It's a Wonderful Life,43.0395949772054
tt0022913,Freaks,42.55952380952381
tt0077138,L'albero degli zoccoli,42.22222222222222
tt0083658,Blade Runner,42.14831968642974
tt0061722,The Graduate,41.79920293179307
tt0083866,E.T. the Extra-Terrestrial,40.91424297374671
tt0052618,Ben-Hur,40.54728880104609
tt0053779,La dolce vita,40.2624923844943
tt0047094,Hobson's Choice,40.17857142857143
tt0073486,One Flew Over the Cuckoo's Nest,40.06686350595518
tt0020629,All Quiet on the Western Front,39.26470588235294
tt0054215,Psycho,39.21417182509754
tt0009968,Broken Blossoms or The Yellow Man and the Girl,37.903225806451616
tt0034240,Sullivan's Travels,37.63143018654607
tt0036112,The Life and Death of Colonel Blimp,37.61186794305351
tt2398149,J'accuse,37.5
tt0035209,Prelude to War,37.5
tt0042625,Justice est faite,37.5
tt0077175,L'argent des autres,37.5
tt0026029,The 39 Steps,37.5
tt0023775,Baby Face,37.5
tt0094187,The Trouble with Dick,37.5
tt0065772,Le genou de Claire,37.5
tt0038043,De røde enge,37.5
tt2375605,The Act of Killing,37.5
tt0369610,Jurassic World,37.5
tt0079522,Manhattan,37.15801600776133
tt0041546,Kind Hearts and Coronets,36.68831168831169
tt0019254,La passion de Jeanne d'Arc,36.641060479375696
tt1065073,Boyhood,36.434782608695656
tt0020163,Menschen am Sonntag,36.0
tt0072443,Zerkalo,35.53966437833715
tt0037674,Les enfants du paradis,35.06117678487945
tt0060138,Au hasard Balthazar,33.86132701631202
tt0108394,Trois couleurs: Bleu,33.68320796968305
tt0040897,The Treasure of the Sierra Madre,33.53466017458737
tt0058946,La battaglia di Algeri,33.23545267389252
tt0068182,"Aguirre, der Zorn Gottes",33.1514856888531
tt0106332,Ba wang bie ji,33.07244174265451
tt0070644,Scener ur ett äktenskap,32.99407114624506
tt0044672,The Greatest Show on Earth,32.38095238095238
tt0056592,To Kill a Mockingbird,31.57663982717989
tt0119792,Nil by Mouth,31.30829651448208
tt0120815,Saving Private Ryan,31.22756725437286
tt0038574,Great Expectations,31.153846153846153
tt0032553,The Great Dictator,30.670630418928774
tt1504320,The King's Speech,30.614754098360656
tt3521134,The Look of Silence,30.392670157068064
tt0137523,Fight Club,30.28846153846154
tt0061811,In the Heat of the Night,30.125
tt0016641,Ben-Hur: A Tale of the Christ,30.0
tt0848228,The Avengers,30.0
tt0044446,The Sound Barrier,30.0
tt0093165,Heat and Sunlight,30.0
tt9028522,White on White,30.0
tt0042332,Cinderella,30.0
tt0080009,Tess,30.0
tt0098994,"After Dark, My Sweet",30.0
tt0080196,Berlin Alexanderplatz,30.0
tt0035796,Desert Victory,30.0
tt0057590,Tom Jones,29.86425339366516
tt0102926,The Silence of the Lambs,29.773864389177653
tt0071129,Amarcord,28.97402597402597
tt0064116,C'era una volta il West,28.877164502164504
tt0057490,The Servant,28.262626262626263
tt0080979,Kagemusha,28.06122448979592
tt0068327,Cabaret,27.789671727001426
tt0105695,Unforgiven,27.541217729896754
tt0887912,The Hurt Locker,27.34375
tt0057091,Il gattopardo,27.101169701441933
tt0052311,Touch of Evil,27.030715474416958
tt2042568,Inside Llewyn Davis,26.74418604651163
tt0045808,Genevieve,26.74418604651163
tt0071141,Angst essen Seele auf,26.573593073593074
tt0060107,Andrey Rublev,26.40711627553733
tt0111507,Trois couleurs: Blanc,26.326690853955704
tt0060196,"Il buono, il brutto, il cattivo",26.220094086021508
tt0040725,The Red Shoes,26.151772505716544
tt0012349,The Kid,25.96153846153846
tt0036695,A Canterbury Tale,25.852272727272727
tt0059742,The Sound of Music,25.845238095238095
tt0053619,L'avventura,25.81024668007152
tt0078748,Alien,25.80730080730081
tt0244316,Yi yi,25.419642857142854
tt1602620,Amour,25.281917020384675
tt0061184,Who's Afraid of Virginia Woolf?,25.19798964361864
tt0088763,Back to the Future,25.130380489076142
tt0038890,Roma città aperta,25.09469696969697
tt0057345,Le mépris,25.082345191040844
tt0032976,Rebecca,25.053124169545576
tt0078122,Préparez vos mouchoirs,25.0
tt0088680,After Hours,25.0
tt0043652,Hon dansade en sommar,25.0
tt0037054,María Candelaria (Xochimilco),25.0
tt0028683,Camille,25.0
tt0080610,Le dernier métro,25.0
tt0015400,The Thief of Bagdad,25.0
tt0020697,Der blaue Engel,25.0
tt10907844,Running to the Sky,25.0
tt0098528,True Love,25.0
tt0036823,The Fighting Lady,25.0
tt2820852,Furious Seven,25.0
tt0109424,Chung Hing sam lam,24.949839486356336
tt0080678,The Elephant Man,24.57020879672813
tt0054269,Saturday Night and Sunday Morning,24.35064935064935
tt0036775,Double Indemnity,24.272042366639525
tt0085213,Le bal,24.166666666666668
tt0048960,Around the World in 80 Days,23.970944309927358
tt0074958,Network,23.906929477398435
tt0053221,Rio Bravo,23.856610632526078
tt0115751,Breaking the Waves,23.796390534695213
tt0064115,Butch Cassidy and the Sundance Kid,23.79202915502834
tt0077416,The Deer Hunter,23.782843318937132
tt1010048,Slumdog Millionaire,23.668831168831165
tt0080388,"Atlantic City, USA",23.484848484848484
tt0093389,The Last Emperor,23.145604395604394
tt0035446,To Be or Not to Be,23.076923076923077
tt0114709,Toy Story,23.028335185042838
tt0092337,Dekalog,22.971250079683816
tt0032455,Fantasia,22.940874914559124
tt0069995,Don't Look Now,22.62998972677442
tt0138097,Shakespeare in Love,22.582805849612573
tt0172495,Gladiator,22.563054524428818
tt0060176,Blowup,22.530160572260257
tt0033870,The Maltese Falcon,22.45199788178211
tt2402927,Carol,22.321428571428573
tt0063850,If....,21.9696607740086
tt0089881,Ran,21.668862245936207
tt0117589,Secrets & Lies,21.50607375642185
tt0169547,American Beauty,21.475862125784236
tt2076220,Holy Motors,21.428571428571427
tt0101561,Chameleon Street,21.428571428571427
tt2395427,Avengers: Age of Ultron,21.428571428571427
tt8471116,Cat in the Wall,21.428571428571427
tt0016884,Flesh and the Devil,21.428571428571427
tt0154942,Neecha Nagar,21.428571428571427
tt0078902,Breaking Away,21.428571428571427
tt0038192,The True Glory,21.428571428571427
tt0106226,The Age of Innocence,21.428571428571427
tt0082484,La guerre du feu,21.428571428571427
tt0021577,L'âge d'or,21.428571428571427
tt0022599,À nous la liberté,21.428571428571427
tt0053226,Room at the Top,21.354166666666668
tt1832382,Jodaeiye Nader az Simin,21.10517919925256
tt0092593,Au revoir les enfants,21.076127819548873
tt0457430,El laberinto del fauno,21.03990737160455
tt0074119,All the President's Men,20.97615554096557
tt0041154,Banshun,20.87666027993375
tt0063385,Oliver!,20.87435796368838
tt0018578,Wings,20.474137931034484
tt1375666,Inception,20.1851827607876
tt0477348,No Country for Old Men,20.139602053915276
tt0033804,The Lady Eve,20.073276015998857
tt0054331,Spartacus,19.87133237133237
tt0166924,Mulholland Dr.,19.82598825620078
